playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy,62,spotify,Spotify,826263
37i9dQZF1DXbkKnGZHv1kf,Blues Origins,50,spotify,Spotify,686621
37i9dQZF1DX2iUghHXGIjj,Acoustic Blues,81,spotify,Spotify,606356
37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,144,spotify,Spotify,473540
37i9dQZF1DXcnkReojaCnV,In the Name of the Blues,104,spotify,Spotify,395805
37i9dQZF1DXd9rSDyQguIk,Blues Classics,70,spotify,Spotify,362237
37i9dQZF1DXcFk5r8uS3l2,Blues Roots,92,spotify,Spotify,356666
37i9dQZF1DXaOWYud3Cg4V,The Birth of Rhythm & Blues,44,spotify,Spotify,249237
5TkTomPbQuSNDxdlWg2fCx,Blues Masters,130,legacysweden,Filtr Legacy Sweden,229301
37i9dQZF1DX5AuRugisweW,Crossroad Blues,56,spotify,Spotify,152903
37i9dQZF1DX8QB9Ys2nV17,Women of the Blues,55,spotify,Spotify,136990
37i9dQZF1DX5NXVhu59GCz,Acid Blues,40,spotify,Spotify,110818
37i9dQZF1DWXbxDw7wBcIC,Scratchy Back Porch Blues,50,spotify,Spotify,102305
37i9dQZF1DX7Y7BqFok9IQ,Modern Blues Rock,50,spotify,Spotify,100450
37i9dQZF1DX4rGCw5bMNp1,Chicago Blues,50,spotify,Spotify,75210
37i9dQZF1DXeaMD6NdSui3,Lone Star Blues,50,spotify,Spotify,55657
37i9dQZF1DWWtGE7PB0aRR,Brit Blues,45,spotify,Spotify,55587
2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul",771,kaatjev,The New Funky,54001
6FZuzk9vVfWOvA57wGNGwS,Jazz-Blues-Soul-Funk Hits 2020,11,biu2dkmr1v2ojx2z2fwtr24ll,Vicky,51619
56dbowk1V5ycS5jW7DSvi5,Blues Rock,66,100yearsoftheblues,100 Years Of The Blues,50816
37i9dQZF1DWSTHVqvNCwNq,Delta Blues,45,spotify,Spotify,50233
37i9dQZF1DZ06evO4dI4Ei,This Is Baco Exu do Blues,50,spotify,Spotify,46434
