track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6nNHyyYKi90iRQbLuIdO8O,Let's Get a Groove On,3MAzDpqE01xyUmzNsc0Ee0,Lee Fields,0MKoTL2lYJ3hUVDYyhmyTi,174226,2020-03-18,37,0.784,0.892,7,-8.951,1,0.235,0.447,0.127,0.391,0.45,114.09299999999999,2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul"
2y6i0SqujGvBIU8CdsIQDz,I Know How You Feel,7gcCQIlkkfbul5Mt0jBQkg,Dave Stewart,46lxdP9TY1y8hLJyy2NWFE,155864,2020-07-17,35,0.45399999999999996,0.506,6,-10.104,1,0.0377,0.419,0.000136,0.212,0.057999999999999996,81.931,37i9dQZF1DXcFk5r8uS3l2,Blues Roots
02V2PwXfovnT03QPHpp1SF,Rollin 'N Tumblin,714osTgzZrkyf3SGjggpfY,North Mississippi Allstars,46nKDUcNFmBL8ASwFH3P94,155986,2013,40,0.637,0.948,7,-6.362,1,0.11900000000000001,0.0228,0.782,0.42,0.282,120.04899999999999,37i9dQZF1DX7Y7BqFok9IQ,Modern Blues Rock
6L5nqMCbzcg9Xq8ZE6PC91,Fresh Out,5jMGnqJkgPaiJzwy5bOcYX,"Christone ""Kingfish"" Ingram",0ssT151vDQvOAL1dcf4zZY,228019,2019-02-19,31,0.573,0.7,7,-3.9989999999999997,1,0.05,0.313,0.00018700000000000002,0.293,0.585,105.084,37i9dQZF1DXcnkReojaCnV,In the Name of the Blues
4rGnfA4SP3xkvdk6cxqwWl,Border,1EI0B66miJj5Fl408B7E9H,Courtney Marie Andrews,1U8907wmzKNgvDEW3mk21S,235066,2018-03-23,26,0.542,0.387,7,-9.294,1,0.0301,0.222,0.00283,0.102,0.326,128.792,37i9dQZF1DXcFk5r8uS3l2,Blues Roots
7aLoa1F3EoM8AeC6Ao1RKz,"Shake, Rattle and Roll",1DTgcOxytJHD8p17mhSgd7,Big Joe Turner,3srwW4zf3HJcOItxUokJgI,179626,2007-10-30,45,0.612,0.584,8,-6.296,1,0.0623,0.7879999999999999,3.13e-06,0.193,0.845,154.704,37i9dQZF1DXaOWYud3Cg4V,The Birth of Rhythm & Blues
0PiZcjWPnqgnAsmI6FMxYC,Brick House,6twIAGnYuIT1pncMAsXnEm,Commodores,1ZIP9kXi6QAj0SWzHGfocI,206800,1997-01-01,0,0.83,0.892,4,-5.6129999999999995,0,0.0646,0.0328,0.004,0.0658,0.675,107.774,2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul"
70NvafQPgdytXWUe2Yvw1W,Going Down the Road Feeling Bad,2f1hLQKsXGmF9rxdrq6Jt4,Steve Hill,5c7E6QImmtlRXTsbU4dQWC,297880,2016-03-03,0,0.401,0.5670000000000001,2,-9.327,1,0.0397,0.34600000000000003,0.125,0.162,0.622,182.96599999999998,37i9dQZF1DX2iUghHXGIjj,Acoustic Blues
43g6WWAG3gZVo90055vZ8A,Man for the Job,6ISRTIzRuBM6FGMDCfP9GZ,Maison du Malheur,5T5N8lFTFQ3kSpXGty8nja,251413,2013-03-22,0,0.701,0.637,10,-6.234,0,0.0423,0.243,0.0228,0.0943,0.6920000000000001,138.799,2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul"
3LbriEYGHrO6vNg5Tu1D9Y,Do You Love Me,4RAQZfFgR7NPAWjKwUpEeC,Maceo Parker,6pbYPqRHmBBFcIWdI1oGXy,240360,1998-08-25,0,0.737,0.93,5,-4.4239999999999995,0,0.0756,0.33299999999999996,0.000322,0.069,0.922,97.42399999999999,2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul"
7uyKtlX1sM9mEmez6Hss7y,Mr Morris,1AiQK5vJEjhf6pFcWs5nWp,The Filthy Six,58KdrPwUkNY1MYYcdN6lV4,313826,2016-03-18,0,0.784,0.752,0,-9.397,1,0.0573,0.20199999999999999,0.893,0.0446,0.937,112.85700000000001,2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul"
60UQSMnnVZvTGkvx2BlTH0,Funkafized,1c8Oi7jBZp09wJap1wn2Cd,Boston Horns,7kMk2WjnOqsiD4Jqqp0z7f,299000,2012-05-17,34,0.843,0.846,5,-5.256,0,0.0677,0.271,0.83,0.24600000000000002,0.8079999999999999,103.976,2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul"
1MeXAZhucW12Rkj2qFO4S5,Big Wheel,6m4tJuf67jwVSvMP34hrck,Saun & Starr,1fNCvYZhB84hP7qicn2QOx,198666,2015-05-19,0,0.733,0.7190000000000001,1,-6.399,0,0.0336,0.12,4.57e-05,0.0758,0.961,90.554,2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul"
5fYxpz5g4urKoOVgZQTQqH,Sugadoo,7mYdzBqQUa1hb8jdRmMpfE,Mingo Fishtrap,0P1ZQNOoBh0faU0FrKQJlh,209840,2014-06-03,26,0.7190000000000001,0.782,0,-8.016,1,0.0727,0.228,9.070000000000001e-05,0.33,0.8029999999999999,99.978,2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul"
0QpxUzXEI3ZjJeo6dDFgV7,Me And My Guitar,5dCuFngSPyOOnTAvrC7v2s,Freddie King,4gpyOtOO0Ws6zhvcp4ASMY,244693,2000-01-01,39,0.6890000000000001,0.7909999999999999,11,-7.0,0,0.0495,0.5479999999999999,6.08e-06,0.285,0.8109999999999999,102.51899999999999,37i9dQZF1DXeaMD6NdSui3,Lone Star Blues
65VzqBb5ogD2xIFD8jetMG,Got My Mojo Working,4y6J8jwRAwO4dssiSmN91R,Muddy Waters,21Lv19NsmMPpwUL58JCP57,173040,1997-05-20,50,0.519,0.779,4,-9.158999999999999,1,0.0648,0.573,8.13e-05,0.28600000000000003,0.888,113.48700000000001,37i9dQZF1DXd9rSDyQguIk,Blues Classics
790G9Ym8dqZfqHacKrIqWX,Bring Down The Wall,2hK2gWQ2TequHGKZe5dzHd,Piers Faccini,31i3mDrSNXHijWB3QWXB0p,205532,2016-09-23,0,0.6970000000000001,0.392,2,-10.105,0,0.034,0.40399999999999997,0.00121,0.0821,0.725,97.96700000000001,37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock
6S2WRQBK9uKW2J6RTJXY6N,Call On God,6LufpoVlIYKQCu9Gjpk8B7,Sharon Jones & The Dap-Kings,4H7Zk2z3wYfj5UuwoPIoPl,217920,2017-11-01,0,0.47,0.49200000000000005,5,-7.204,1,0.0317,0.657,0.0,0.19899999999999998,0.478,120.311,37i9dQZF1DX8QB9Ys2nV17,Women of the Blues
6sfZbIO4O4BtgE0mJ20zFg,Cross Creek Road,4xBhIBf0DEjAcJvGSwJdFr,Big Daddy Wilson,5WaGSIkfMgfuJ0Yd9FNyKb,181040,2017-01-27,40,0.708,0.248,0,-9.894,1,0.0752,0.522,2.7000000000000004e-06,0.146,0.612,132.53,37i9dQZF1DX2iUghHXGIjj,Acoustic Blues
6pDcOifCu3pAVOXhrS4R8R,Voids and Bubbles,5a7c4KGYYGhtrvsZkZMMht,Chris Joss,6rmiCDSWlbQosa9dDoa45I,216847,2018-02-10,20,0.7929999999999999,0.674,0,-7.199,1,0.07400000000000001,0.273,0.867,0.0899,0.852,91.964,2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul"
7KwwKbVp34XpxjRnnwBy0h,Fits Me Good,5Npr4HpRE8YlsisRjN9T8h,Philip Sayce,4DTcA2RFWd5N6FAbIoujnw,171645,2020-01-24,32,0.523,0.963,8,-4.593999999999999,1,0.0713,0.000434,0.00115,0.41600000000000004,0.489,128.007,37i9dQZF1DXcnkReojaCnV,In the Name of the Blues
3XWJK9YNe8RG6zL541YMTU,Love Will Bring Us Back Together Again,6R9Mv0bgGE4Tqxna1q5Mrj,Roy Ayers,1YdXBTXgqta3k2AgOQFTCp,355533,2002-09-09,0,0.785,0.6890000000000001,6,-11.019,0,0.0621,0.0383,0.0033399999999999997,0.12,0.645,105.72,2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul"
1TkliUZNnCeTjZMWPuUoPK,Mustang Sally,2gCsNOpiBaMNh20jQ5prf0,Buddy Guy,7IxnFL0kaVSqs9iy9qSqPj,283266,1991,53,0.613,0.934,0,-3.7110000000000003,1,0.0342,0.0406,0.00031299999999999996,0.0882,0.7759999999999999,107.273,5TkTomPbQuSNDxdlWg2fCx,Blues Masters
5QJMMpa8ihBI2CFEhhmOi4,The Mark - Live Solo,2DMHBCdboDAYJWzt2lDSP5,Cold Specks,4Vt7lG6HA70tiPDMkK6Cch,138265,2012-10-02,30,0.469,0.0591,0,-16.562,1,0.0325,0.9420000000000001,0.0,0.0812,0.128,104.575,37i9dQZF1DXcFk5r8uS3l2,Blues Roots
19nWZV7nJLsvOfwi8HASDR,I Wanna Know,2FNblbLTuqK1YeCEE9YWLJ,The Buttshakers,5wDChCLbCLAcZL4t4PE7m8,245953,2014-05-09,17,0.76,0.557,2,-11.692,0,0.0817,0.0547,0.0096,0.141,0.9590000000000001,139.488,2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul"
3lwBgpUnYL2pnPGRlWEkd9,Bad Things,251UrhgNbMr15NLzQ2KyKq,Rayland Baxter,4Hg3nMjHlIr0wtswiknM5z,313867,2013-08-20,0,0.318,0.586,2,-7.606,0,0.0375,0.38299999999999995,0.0,0.145,0.21100000000000002,80.806,37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock
