playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX1lVhptIYRda,Hot Country,54,spotify,Spotify,5941459
37i9dQZF1DWYnwbYQ5HnZU,Country Gold,64,spotify,Spotify,1583098
37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love,50,spotify,Spotify,1360312
6nU0t33tQA2i0qTI5HiyRV,Country Hits,35,digster.fm,digster.fm,956430
37i9dQZF1DWVpjAJGB70vU,90's Country,64,spotify,Spotify,797678
37i9dQZF1DX5mB2C8gBeUM,Wild Country,75,spotify,Spotify,789414
37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse,79,spotify,Spotify,568989
37i9dQZF1DWXi7h4mmmkzD,Country Nights,90,spotify,Spotify,498916
37i9dQZF1DWSK8os4XIQBk,All About Country,77,spotify,Spotify,445586
37i9dQZF1DXaiEFNvQPZrM,Country's Greatest Hits:  The '90s,135,spotify,Spotify,426521
37i9dQZF1DX9hWdQ46pHPo,Forever Country,77,spotify,Spotify,308054
37i9dQZF1DWWH0izG4erma,Country Rocks,72,spotify,Spotify,306086
37i9dQZF1DX49poIUZYXp7,Women of Country,68,spotify,Spotify,277257
37i9dQZF1DX6RCydf9ytsj,Country's Greatest Hits:  The '80s,163,spotify,Spotify,264975
37i9dQZF1DXdfhOsjRMISB,Country Drive,150,spotify,Spotify,249089
37i9dQZF1DWXepGEFFmQXJ,Fresh Country,60,spotify,Spotify,229656
37i9dQZF1DX6P1Nsk3wSZX,Hot Country - Top Tracks of 2018,50,spotify,Spotify,218963
37i9dQZF1DX7CGYgLhqwu5,Country's Greatest Hits:  The '60s,102,spotify,Spotify,194413
37i9dQZF1DXaJXCbmtHVHV,Big Country,40,spotify,Spotify,193750
37i9dQZF1DX5iKSDtVcf7Q,Heartland Country,100,spotify,Spotify,185720
37i9dQZF1DXbIbVYph0Zr5,Country Cookout,93,spotify,Spotify,184374
37i9dQZF1DX13ZzXoot6Jc,Country Favourites,100,spotify,Spotify,170741
