track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1Gxg39Z2XpfCM6v5JoO0U5,Faith (feat. Marlena Shaw),1KpCi9BOfviCVhmpI4G2sY,Tchami,628jjforX9A1Vf60hvDI8N,326350,2020-09-25,56,0.6990000000000001,0.856,9,-7.437,0,0.055,0.00067,0.0296,0.31,0.43,126.02,12uHWjT4W5DHJrY58XtdiO,"Electronica Éxitos 2020 - Tomorrowland 2020, Electronica 2020, Electronica para Fiestas, EDM Hits "
2152G5BzNG6NzOLoiYLrnG,Keep It Close,6fcTRFpz0yH79qSKfof7lp,Seven Lions,3OqgnR9HEvoXVaehY2jSFq,312506,2014-04-29,36,0.453,0.737,2,-6.667999999999998,0,0.0358,0.0352,0.0263,0.0854,0.0482,110.006,1AsVFc0487EvJwDqEIJHBa,Melodic Dubstep // Chillstep // Epic Electronic
30OoYi9dzWqGiZiTStH9vP,Flower In The Night - Rafaele Castiglione Remix,0b05DhI4gD2fNDlqbFBOyt,Landhouse,5nUnFjpxeogRPiJ4aHOMcT,609160,2017-12-08,0,0.753,0.452,7,-12.134,1,0.0395,0.191,0.846,0.0952,0.14300000000000002,108.003,37i9dQZF1DWYUYYlhkTuEn,Yoga Electronica
6GyFP1nfCDB8lbD2bG0Hq9,Midnight City,63MQldklfxkjYDoUE4Tppz,M83,6EB14IXV5oyOiItGBv7mtG,243960,2011-10-17,76,0.507,0.7290000000000001,11,-5.399,0,0.0393,0.0182,1.4e-06,0.0658,0.272,105.013,2NAGzZNbDQHaOlXsb8Qsfr,Indietronica - Indie Electronica
1p3kZCSx1LxmemXq7efQ5U,Last Dream,3MK71khOrqZwGpyfYzwKXR,Jones Meadow,19hum2Jtf27MsPyb9nEHK9,214067,2020-04-17,55,0.7909999999999999,0.941,1,-6.7639999999999985,1,0.0434,0.254,0.905,0.12,0.626,117.997,37i9dQZF1DX0wMD4IoQ5aJ,Electronic Focus
3NE1PQQvPm1bI61XGoN6yg,Moon Street,59qo8jHDlC1i30HVjQQW3O,Axel Boman,6fnEfAgnc4jJtCFnXJasII,535254,2020-10-09,0,0.81,0.6809999999999999,5,-13.159,1,0.0664,0.0056,0.917,0.1,0.542,124.986,37i9dQZF1DX8AliSIsGeKd,Electronic Rising
0wgKJJf57xTDEC3fj51EHB,Elemental,1rMry8Rh7VRoaKFWezSaMB,Bare Noize,0d26ka2Y7PC6tumr0Ku0Lk,244915,2016-08-26,21,0.449,0.925,4,-5.279,0,0.0844,0.0186,0.0797,0.292,0.224,149.912,1AsVFc0487EvJwDqEIJHBa,Melodic Dubstep // Chillstep // Epic Electronic
0rVjpoL6HBCpV456V2qoEC,Escapade,6cwRqYSDYwWsLveCcDRhyY,Skrux,0rHZ8EvzyGL4mbYi1UdrET,298332,2015-03-11,42,0.522,0.624,11,-5.239,0,0.0329,0.0898,0.097,0.064,0.338,140.017,1AsVFc0487EvJwDqEIJHBa,Melodic Dubstep // Chillstep // Epic Electronic
2I0UkthGlPeyCb1zqjUTaG,Day Glo,5evuJYN1sgxxSQWs9mw1e3,Molife,2roD1ar2tsDLGxFbsai4h4,219328,2018-07-20,0,0.8059999999999999,0.7440000000000001,7,-7.631,1,0.0938,0.119,0.7959999999999999,0.0956,0.146,120.034,37i9dQZF1DX4Y1uAfxGdKJ,Electronic Running
4L5FRe68MeXk40tnlgFAH0,Higher Love,6fcTRFpz0yH79qSKfof7lp,Seven Lions,5jv8b9mdUtBv9bU3vbrjGM,173496,2017-01-13,44,0.508,0.762,2,-4.959,0,0.0357,0.0727,0.0,0.586,0.29600000000000004,129.947,1AsVFc0487EvJwDqEIJHBa,Melodic Dubstep // Chillstep // Epic Electronic
