playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWSkMjlBZAZ07,Happy Folk,115,spotify,Spotify,1867904
37i9dQZF1DWVl5gPCRkquk,Chill as Folk,100,spotify,Spotify,756867
37i9dQZF1DWU6Vfrf87eTG,Indie Folk for Focus,116,spotify,Spotify,701418
37i9dQZF1DWXJyjYpHunCf,Folk Pop,110,spotify,Spotify,686846
37i9dQZF1DX2taNm7KfjOX,Infinite Indie Folk,150,spotify,Spotify,682962
37i9dQZF1DXaUDcU6KDCj4,Fresh Folk,126,spotify,Spotify,607964
37i9dQZF1DX1BGjF5N5O7F,Sexy as Folk,48,spotify,Spotify,484191
37i9dQZF1DWVmps5U8gHNv,Essential Folk,115,spotify,Spotify,465087
37i9dQZF1DXcDxnC0UqHJa,Folksy Covers,100,spotify,Spotify,443747
37i9dQZF1DXat5j4Lk8UEj,Folk Rock Faves,117,spotify,Spotify,423369
37i9dQZF1DX9HwI3Crikcm,Irish Folk: Jigs & Reels,79,spotify,Spotify,235427
37i9dQZF1DWSIcimvN18p3,Women of Folk,200,spotify,Spotify,218197
37i9dQZF1DX2ULa1Ss8vbo,Irish Folk - Ballads,50,spotify,Spotify,195128
37i9dQZF1DX3uZHsihe90o,Family Folk,70,spotify,Spotify,175015
37i9dQZF1DX1nqy6pUAoUv,Contemporary Folk,105,spotify,Spotify,141173
37i9dQZF1DWWv6MSZULLBi,Folk & Friends,80,spotify,Spotify,134923
37i9dQZF1DX4jUyNIMkj6N,Nordic Folk,89,spotify,Spotify,114001
37i9dQZF1DX7Y2xcY13mN1,50 Irish Folk Songs,50,spotify,Spotify,109726
37i9dQZF1DWZyQUsU1vj4x,Cinematic Indie Folk,91,spotify,Spotify,102264
37i9dQZF1DX6o2KmaQFzHW,Folklore de Siempre,90,spotify,Spotify,96394
2xqLn5C8UBdG63mmy4i8QQ,Irish-Folk/Rock,100,1127605864,Vadim Justus,77022
37i9dQZF1DX5TMFhaZc9ov,Queer As Folk,83,spotify,Spotify,74415
37i9dQZF1DX0z6CeZuw5dA,Folk-inspired Classical Music,50,spotify,Spotify,65669
37i9dQZF1DX5k79xc4NSUM,What the Folk!,50,spotify,Spotify,60699
