track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
47KDDZgFiX1w6RFOuLXsSn,Tomorrow,1fZpYWNWdL5Z3wrDtISFUH,Shakey Graves,6gtu2oXhmDQN8TAsWimZbj,240586,2016-09-02,68,0.564,0.354,7,-10.85,1,0.0334,0.73,3.43e-06,0.208,0.423,98.075,37i9dQZF1DWSkMjlBZAZ07,Happy Folk
3sdpasrIhFH4gWuoi0iWym,Mountain To Move,3x8FbPjh2Qz55XMdE2Yalj,Nick Mulvey,6Vcszn67is0yDZGxNOjvBP,236280,2017-07-25,52,0.662,0.947,7,-6.409,1,0.0517,0.431,0.007,0.0974,0.31,110.006,37i9dQZF1DWSkMjlBZAZ07,Happy Folk
3ihp0qYSN89GBnrgF6GhRh,Either Way,0syIRg9MPSpJIC0QCPUaHB,Beta Radio,0GIfSimHMHkmbKiRdrLpAQ,135560,2010-01-01,52,0.651,0.621,8,-7.271,1,0.0359,0.637,0.000122,0.0712,0.914,77.578,37i9dQZF1DWSkMjlBZAZ07,Happy Folk
2kG5litgxXvx6ZRgwO1v7W,Sedona,7EGwUS3c5dXduO4sMyLWC5,Houndmouth,4DL8KCLfnDpUQRyDR5dKvt,239880,2015-03-17,68,0.396,0.677,3,-7.513,1,0.0354,0.0372,0.000137,0.112,0.249,135.177,37i9dQZF1DWSkMjlBZAZ07,Happy Folk
4KhBvLbRr58rHPF24bdL9Q,Officer of Love,0wyMPXGfOuQzNR54ujR9Ix,Caamp,7JQPBE6v0PxayunYaJ0CiT,239805,2020-09-30,58,0.662,0.574,4,-8.696,1,0.0261,0.298,0.00902,0.115,0.948,109.085,37i9dQZF1DWSkMjlBZAZ07,Happy Folk
4wDhECcwcKR4jZEEDiye5a,Little Road,6MrZj6wqVagXe1UQ8AYWgZ,Devarrow,155osgcutzrJu9a1w5aIgB,195680,2015-07-15,51,0.66,0.618,8,-8.136,1,0.04,0.666,0.00176,0.184,0.302,108.942,37i9dQZF1DWSkMjlBZAZ07,Happy Folk
2fpDrL2Vpee0JnM6AoUFvl,Silver Lining,69tiO1fG8VWduDl3ji2qhI,Mt. Joy,3FxWxJXvkNN3peG2iikNh7,199827,2017-11-02,54,0.486,0.638,0,-6.231,1,0.0323,0.000921,0.0,0.078,0.178,144.458,37i9dQZF1DWSkMjlBZAZ07,Happy Folk
2LY0DjFGGF0JQugFzWSGpi,Chateau,4tvKz56Tr39bkhcQUTO0Xr,Angus & Julia Stone,68Uy1KyPTQTWjVqrSE97hV,273533,2017-08-24,48,0.661,0.585,5,-11.255,1,0.0367,0.658,0.876,0.102,0.606,129.98,37i9dQZF1DWSkMjlBZAZ07,Happy Folk
2ToW7zhGCrVrLU4fiKj9U1,Cleopatra,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,2zbTrm2pIAErzFSopinkbN,201413,2016-04-08,63,0.536,0.775,8,-6.765,1,0.0394,0.228,0.000143,0.0947,0.485,151.393,37i9dQZF1DWSkMjlBZAZ07,Happy Folk
4F9jpNQDKRFoyM4Ebpni6S,Amadeus,2AmW5LU0vqfHoN2qvghRFe,Family and Friends,1SX20zgyjlyqjHSzOTmqxf,207519,2015-07-17,60,0.428,0.724,11,-7.264,0,0.0434,0.183,0.000136,0.251,0.184,146.917,37i9dQZF1DWSkMjlBZAZ07,Happy Folk
