playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz,137,spotify,Spotify,2247943
37i9dQZF1DX4wta20PHgwo,Late Night Jazz,70,spotify,Spotify,1843497
37i9dQZF1DXbITWG1ZJKYt,Jazz Classics,70,spotify,Spotify,1762974
37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes,310,spotify,Spotify,1682729
37i9dQZF1DWTbzY5gOVvKd,Jazzy Romance,60,spotify,Spotify,967613
37i9dQZF1DXa1rZf8gLhyz,Jazz for Sleep,126,spotify,Spotify,836488
37i9dQZF1DX5OepaGriAIm,Women of Jazz,100,spotify,Spotify,747799
37i9dQZF1DX8Kgdykz6OKj,Jazz Rap,80,spotify,Spotify,693897
37i9dQZF1DXbOVU4mpMJjh,Jazz Relax,50,spotify,Spotify,593195
37i9dQZF1DX55dNU0PWnO5,Jazztronica,73,spotify,Spotify,479816
37i9dQZF1DX2vYju3i0lNX,Chilled Jazz,146,spotify,Spotify,472837
37i9dQZF1DX7YCknf2jT6s,State of Jazz,60,spotify,Spotify,462567
37i9dQZF1DX661EjJOj3Tu,Latin Jazz,100,spotify,Spotify,395042
37i9dQZF1DX5D4gDh3HAsM,Christmas Jazz,50,spotify,Spotify,354365
37i9dQZF1DWTALrdBtcXjw,Jazzy Dinner,58,spotify,Spotify,324359
37i9dQZF1DWTR4ZOXTfd9K,Jazz Classics Blue Note Edition,87,spotify,Spotify,298592
37i9dQZF1DX71VcjjnyaBQ,Good Morning Jazz,50,spotify,Spotify,258152
37i9dQZF1DX4YnmTbpvHLN,Cena con Jazz,110,spotify,Spotify,250555
37i9dQZF1DX3SiCzCxMDOH,Jazz for Study,137,spotify,Spotify,230029
37i9dQZF1DX2mmt7R81K2b,Jazz – Classical Crossings,55,spotify,Spotify,221314
37i9dQZF1DXdwTUxmGKrdN,Smooth Jazz,50,spotify,Spotify,182724
37i9dQZF1DXbHcQpOiXk1D,Jazz UK,75,spotify,Spotify,173057
45i3KQ4ENPoZNRYtReXBcU,☕ The Jazz Hop Cafe [Monthly Selection],117,thejazzhopcafe,The Jazz Hop Café,156714
