track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
2wOlZrHUpRP9hQbqbV9Ae5,Together,0Cioop2zjxXxtcPUme7R46,Matthew Halsall,1fcREbFQfCqfwxXkxGgvV7,672520,2009-10-26,59,0.401,0.0236,6,-18.749,0,0.035,0.978,0.579,0.102,0.163,110.519,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
2yiISACbYnL2hApy1ffKKs,Misty - Remastered 2020,6C65D20ASusYqHGSIktfED,Erroll Garner,41sYqKPEygmvQrLXKpzWJU,167121,2020-04-17,57,0.327,0.145,5,-20.443,1,0.0397,0.945,0.884,0.091,0.136,178.966,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
2R1vQwYTC0sl93C6oyVuHC,Simplicity,0FAC6FNPb4LsY5uyp0xTWF,Edward Simon,4GDYdHheKfIOBMjqOgTK6k,309586,2020-10-09,41,0.493,0.107,2,-22.122,1,0.0336,0.881,0.906,0.122,0.126,91.326,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
1dsVIoiV96Goqv1jGbJySI,Our Son,4PqV4TEgVltnn4N47ODKV6,Al Foster,29cOIY18Ltp3gisRUmNqh8,162280,2019-06-28,57,0.482,0.101,8,-18.914,0,0.0333,0.965,0.00335,0.125,0.189,105.719,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
7e4cQ65cw0hbgQfbZr9IUD,Little Girl Blue,0ie9W9nN4iPymAkS9WW8nX,Jeremy Pelt,3uF0eDO6FcdBSJcR4wdwms,437720,2020-01-24,55,0.297,0.0805,5,-18.726,1,0.0355,0.963,0.947,0.0898,0.158,80.346,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
4M7Hi6wUOQ7ECOup83DYov,In Memory,65mwyp96M7Yx78x8XVz39M,Tingvall Trio,1KDGAEkezlMWQ46iXhVuok,318864,2020-10-02,50,0.416,0.111,5,-19.156,1,0.0299,0.836,0.702,0.102,0.0514,101.84,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
0XHv1jT5QsTbemGea5q8Ek,Song for Fraser,6HQYnRM4OzToCYPpVBInuU,Kamasi Washington,03ZDW1rnnecmoDBmRXt3A1,140004,2020-05-15,56,0.4,0.0763,0,-19.201,0,0.0571,0.968,0.828,0.106,0.173,59.235,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
7s1hwbCePvSUZxgayvKTCK,A Time For Love,1QoFjUjxsHULNzFihvt8Sd,Rob Barron,3eHtDpsMTiWBek5awHt2fE,388746,2020-10-02,50,0.475,0.104,7,-21.265,0,0.0365,0.932,0.941,0.0966,0.122,115.003,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
283h1iiG7BVoKvTVAr5bSc,Polka Dots and Moonbeams,79PWBQ4rekAQItLBfqIdzl,Gabriel Latchin Trio,6m6qm8MVQMJGvKTCXDuVe4,329680,2019-04-05,55,0.576,0.132,2,-19.928,0,0.0399,0.97,0.898,0.122,0.122,63.078,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
211rvuRnkIpzd5lJNi0LBK,Forelsket i København,7sBx432MZn1MzHeYHAA5qr,Scott Hamilton,23bW4RipgZJ7q2D51Cjnof,327306,2019-06-21,56,0.385,0.1,2,-13.827,1,0.043,0.96,0.198,0.11,0.199,54.041,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
0vMPNdJjZqOpj5yhcSGXgT,The Autumn Gate,7atdKYaPCT9zvJW2OTedhz,Tim Garland,4iifCLubKvL05e8HTCl8v1,261066,2020-09-04,53,0.261,0.185,9,-13.766,1,0.0353,0.867,0.725,0.0984,0.141,116.632,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
6zYDzFqWrXG2rMWZA1I7tZ,We Will Never Meet Again,09SVpoNxeMVRHY48xjqS0c,John Rae,4FrHFBCtchCE0qfhEcXdqF,257385,2020-10-09,38,0.476,0.104,9,-19.165,0,0.0348,0.899,0.0625,0.0801,0.238,84.93,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
30WYlOTUkGayw4Qo4Y9sYX,Ebb Tide,57Ce6izcYKvFOFlhsUFzLJ,Ben Flocks,3oFFsDmGaUmFeAgljXFexD,186080,2019-08-16,53,0.179,0.211,5,-11.936,1,0.0326,0.896,0.76,0.431,0.231,174.248,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
63veqr50DnmHuo7M34fmqL,Detour Ahead,3eWJmHOgjTdo3ZsS25iRMh,Jeff Rupert,1dwvztF5H2pxwUVnqXtXva,326413,2020-01-24,54,0.461,0.228,8,-12.875,1,0.0358,0.851,0.738,0.133,0.238,132.456,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
5adNkxFBgFYu3N6m8J6muG,Summertime,2D90eAxzLfSL7KkvptyUtF,Denis Solee,2RefaWeQAFf7DIUlyDHFCh,292444,2018-01-15,54,0.326,0.156,2,-14.116,0,0.0307,0.92,0.676,0.171,0.159,75.458,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
1A6rWsVB4JNfsvVcAN2FdY,Tis Our Prayer,0FcNSKwWZJb98ry9M2qEII,Joey Alexander,1AxMJlX259UQmCRRsD5jl5,248666,2020-01-31,55,0.35,0.215,8,-14.659,1,0.0374,0.933,0.911,0.126,0.135,99.903,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
78RAfPGFpTUqnPSTV0LcmT,Easy Living,58dTi4Xr0bd6yd8XKgimAr,Massimo Faraò Trio,79jNUOF7HaumY5JoP3TpVr,293253,2018-07-18,55,0.523,0.188,5,-14.701,1,0.0345,0.609,0.597,0.285,0.0744,112.092,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
58TwX5CF328t6qDm9sgaLb,"Uptown, Downtown",5isSr1JUeHt5cgh8oWz1Ja,Bill Charlap Trio,1rKuZrtVnezUOqklw7fSKc,360353,2017-08-04,48,0.592,0.231,6,-16.446,0,0.0371,0.833,0.911,0.0992,0.377,62.693,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
3bv4j1lmo6yVChahz9crt3,Sunshine Follows the Rain,4xfIFGU467tYdyF6thGbLP,Yoko Miwa Trio,3DT4nt7TYDgRpLRd64vecp,608186,2019-06-14,52,0.394,0.25,0,-16.804,0,0.0327,0.845,0.93,0.127,0.0903,115.451,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
4rznhkoOr1AYneKuWBef4V,Ciaccona per Embrik,4puHZxpgNVKxk6ydFviSM8,Trygve Seim,3Kq1Dy1BmAVco780WvXwnM,360413,2018-08-31,50,0.302,0.0166,7,-23.504,1,0.0475,0.974,0.0714,0.0737,0.235,69.904,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
06saP1KfOa0j93jO8XnCUT,Silk Threads,5vACdMa2kY7jHnlJwqYRKP,Enrico Pieranunzi,0MKZB0Q3tyrI0jtacgtQZF,274673,2020-02-07,53,0.462,0.115,9,-20.827,1,0.0535,0.967,0.891,0.0996,0.055,84.417,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
4aUrYkpfMzm2DVfG1Pplzk,New Morning,6aIBBSprVv4xXTT6vzONXU,Eric Reed,6svNUeo9s8K04JPAjdB7b5,570786,2019-04-04,52,0.374,0.118,2,-16.48,1,0.0365,0.97,0.829,0.083,0.0954,145.312,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
4CY09ZCdgvjtCaw0fGITbN,Come What May,53HPdlKWDIGFF4GvVrCtEV,Joshua Redman Quartet,38R4DeasP4tqHhfiiShLVE,406920,2019-03-29,52,0.53,0.225,10,-13.663,0,0.0414,0.941,0.691,0.284,0.195,135.262,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
2BjX0EYypxakiidBW18QmC,I Fall in Love Too Easily,210tC5HRo1NpbeqCvWlJuv,Jim Snidero,5XSt8oBzh9XMbKafKJ0ciO,323640,2019-03-08,51,0.424,0.0301,0,-15.316,0,0.0483,0.96,0.0299,0.21,0.349,67.541,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
72KHUsa4UyTXpSf7jRb1ih,Ev'rytime We Say Goodbye,18AQ9nxWckf5yw7XuEvten,Mark Sherman,4bLtP25ArMR6Athup5vBTH,427431,2019-08-16,52,0.448,0.275,8,-17.203,1,0.0348,0.765,0.872,0.141,0.119,119.37,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
1y0FhVFVZ2eG82sn0M7H7v,Peace,37SVnwHrnnfBR1Gb0Yq7GD,Steve Davis,3jZLKB3Zj8yBCR7ByScKzc,436000,2019-01-31,50,0.442,0.0595,5,-18.279,1,0.0328,0.976,0.909,0.102,0.102,99.034,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
25cJePcRAgKUKtjH8Wm1MQ,Cianna,795yvukGj0UOfcP8uftDq9,Branford Marsalis Quartet,21Jrn9lGRwkXZyFz2bJjaf,452066,2019-03-01,50,0.563,0.451,3,-9.438,1,0.0317,0.883,0.835,0.129,0.47,99.868,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
4oU07qd2sv9NxW61Op66Jh,The Silence of Your Heart,2qW0CNnmvdEQwiabdareHi,Paolo Fresu,3Pj04LF6C6giZdzHYoSyLL,261415,2018-11-09,52,0.439,0.0554,3,-15.183,1,0.0349,0.984,0.00382,0.111,0.178,101.015,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
