playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
5BbaZMSzPqEZ8bJ53ib3h2,New Age Celtic Music,15,07q3e8q78hjnuz0x43cpr66h1,Worldly Ent,30865
1E3DwWIhY9eX2MLr3plPSt, New Age Music Channel,705,wiccano1972,Albert Sater Berniz,24418
3Aw86LVWypoJc2ms5mkCWT,New age - Healing - Mystic - Spirit - ERA - Enigma - Enya - Adiemus,80,lasaro,Ultra PlayLists,22307
6vE94FSvlCEjESLu7Ejsrb,New Age Piano Top 100,236,briancrain,Brian Crain,20188
4Jm8LcX9B9AcwSn9d1ZpOE,New Age Music,323,124498544,Julio Toledo,17656
3G7mKTS4T59Tt1LJDul4ku,Japanese Ambient/New Age/Kankyo Ongaku (環境音楽) on Spotify,175,tstomc,tstomc,4820
0oYZAInK1qa0as3aQ63Qs3,New Age Music,30,ayie.n,ayie.n,4416
5rMPTIwSYGkpUeshGkwGoc,New Age Music Radio,419,btfasmer,btfasmer,4370
4P1xoSwJSSwZl3pBqVSDJQ,"Monks Chanting Om Natural - Meditation, Relaxation, New Age, Yoga",16,12161469872,Mikey Tedesco,3339
3v43azSS71RtL3YXkn8eJA,New age 80s 90s,259,javier_acevedo76,javier_acevedo76,2644
1xgQ40VZoyJOMAvhXKEp4r,New Age / Instrumental,241,jooa7768,jooa7768,2592
2b6hK50o0oIxN9h7KpsUAi,ENLIGHTENMENT : meditation | relaxation | new age | yoga | mindfulness | zen | spa | qigong | massage | sleep | brainwave entrainment | world music | reiki | spiritual | healing | prayer | worship,373,tunenewmusic,TUNE Playlists,2528
2lAjGi4jBzmiEeJLs9G2Ri,NEW AGE-ENYA-ERA-OTROS,112,glab.180861,glab.180861,1911
0v1UrdKbNQlikQB3H5fpZY,New Age Ambient,774,1226350710,Jeffery Wayne Davis,1771
7kxaxZPz73D9rrmO1qYLDG,"Spa Relaxation Music - For Spas, Massage & Beauty Salons - Peaceful Meditation Piano - Chill New Age",236,aur89msaw8r9fodfw65wpp6px,Piano Peace,1770
2StDgRX8pneeLTjjJhBprC,"Mindfulness guitar - Soft, gentle, relaxing, new age, focus, calm, soothing, soft, meditative",135,davidwestin,David Westin,1639
2Vv00PmmyTVqqMi8PUnBP7,The Best of New Age Music,69,11157078869,Bob D'Eith,1424
7lpTc96GhpI2pCutnmq7JE,New Age Piano ,81,005y2mf01b70im4zos5okgk5n,wowm,1224
3hDWEELdaUjBONwNB2jMGV,The Sound of New Age,414,thesoundsofspotify,The Sounds of Spotify,1213
46mh0fgxTsZsQTVLejGd0p,New Age Deep Relaxation Music for Everyone,668,7x7xu498ral9xz0yh8pv4gdug,Danny Martin,1020
76GhVMaWHGm77P0az9IMof,Celtic Fantasy (New Age)-Medieval Folk Ambience,90,ryanstewartmusic,ryanstewartmusic,1013
5BegOStJMGjYbwQapTbiMo,New Age - Ambient Music - Theta State - Mindfulness Meditation,91,d01ms5vnx1qsaytf8lcav7acp,faber76,1004
5uUTprkb3OhGI1KaHlEUcB,New age y la musica de los dioses,51,carlosloera00000,carlosloera00000,1001
5PvYGiUwQpKQfskM2prk4U,The Great New Age Collection ,274,kristinmarielanz,kristinmarielanz,889
1FBdqv1dkPuoJFzTAxs4FC,Classical New Age Paino Music,231,11177663319,Joel Chia,887
1bhiG31ujBbOX4OPRwO2Vz,"NEW AGE Relaxation, Study, Sleep & Meditation",258,montemusic,Monte Mendoza,793
1ZjsxGhQziGeE9Gu9JjPnR,"Japanese Ambient, Environmental and New Age Music: 1982-1993",41,owf3b7tz88a1ro8p5cii6rc0d,Low End Theorists,760
5Rin2krCb3AGnto43iOlB9,New Age Piano,214,1255668099,Fiona Joy Hawkins,733
37i9dQZF1DX4GdHRGN4Gpz,New Age Music,80,spotify,Spotify,715
2rPLJ1mwciBFOcJTcpgFVB,New Age Girl – Deadeye Dick,14,1227255116,Michael Soumounthong,674
5hsdfKPKbuDfl0gQPrVdgo,New Age Classical,355,alexnghiem,Alexander Nghiem,665
68DXLASqiehSH5wZjMry9G,This is Relaxation - NEW AGE,267,vzkgw7idf153g0de7hqbmg7rd,REHEGOO,664
0Hr72Vg1zXO8Ar1HQlZBMT,new age jazz,505,11131393809,Deniz Dortok,628
5P65WByNRczmefys1DZ4Jp,Neoclassical / New Age Music Gems,498,flkkvve3eymr9dhy584qhnhy0,Karen Biehl,545
5fwvRFVD14tvl9EB455W8V,Welcome to the new age,397,elmyh1,elmyh1,528
2xeirXj7mOpj7qPyfb5Gzi,Best Of New Age & Celtic,350,bascaran2,bascaran2,503
7u0ytklw9KMtMAglKxjnIO,rabindrasangeet new age,23,1262798250,Siddhartha De,455
7q0XhMs1Qj6BxG0kRQrVaL,New age rock,491,1229169386,Squatch,417
2mkd8qZq3NhwFTzV9opDyj,New Age Country,105,rdz1023,rdz1023,394
0hQx8Or9AQ5RsBtPJvqAYP,New Age - 2016/2020,1363,12142621310,Delano Mothé,389
4TCq7rjweq4sEzTeuY9oT1,"Piano lullaby classic – Lullaby, Prenatal Education Children's Song Best 2 (Lullaby, Prenatal Education, New Age)",51,1254647267,Chris Mrquez,367
1H8EPXAIIz2iC4sfhGMH5k,"Spa Music: Flutes for Massage, New Age, Yoga & Relaxation",358,x6r7whs0i5zshua9107gf9mg2,Freddie	Sweety,346
2EKJ3QYfX9oW8fvPlHCsAT,"Gardening music - inspiring, uplifting, relaxing, soothing, meditative, calm, mindfulness, new age",93,davidwestin,David Westin,310
28KlpzILPvdPH16VmShOxr,Baby Lullaby Piano With Rain Noises | Rainy Piano Music for Sleep | New Age Nature Sounds,132,aur89msaw8r9fodfw65wpp6px,Piano Peace,294
48b86ZhxWlrwt0lkF8NliN,New Age - 2019,512,12142621310,Delano Mothé,283
1JJEnOq8TitrojxQSTNJ3C,New Age Rap,614,1142349460,Cam Buys,266
2Voigq13sxAyEArzvxuZ2d,"New Age - Piano, Guitar, Flute...",74,21arfyiv2acoqhwfljyfthzha,Oscar Pascasio Monzón,231
07F7aKTrYBLgxAgT1pMUnp,New Age sleep,171,jkdsensay,jkdsensay,212
6OrnRohDFGarkowbMwmHHV,The Best of New Age Music ,171,j2bjptcdhmpzemr3lin7wskug,New Age Music Planet,211
6LK9ZSbR0MOsof9bzjD3y3,Música New age,102,u2rhjht0bqacdycrv3dskei9b,Hector Perez,204
3gqlHgp2OTdBOSkiLKzMbf,80s New Age,77,carlosgonzales.info,Charlie Gonzales,189
6h8eCsxCpgyFO1LO2UKfQD,Voices of New Age & Celtic,168,bascaran2,bascaran2,157
5KGGL9Up9fmYAnKx048ibb,Piano New Age,78,maklrope,maklrope,126
3myj7hIQTKPFFE9ivewsqx,new age,75,31dlbezunbzsmz2ye3gxde2adebe,Tshegofatso Tsimane,100
1o7BRRes1mJ3i54vl2EtKE,New Age - 2020,158,12142621310,Delano Mothé,94
0vxUcjjjU7zRUy9MNnxqJ3,Vocal New Age,117,1161274855,Esther Parpal,72
18pqa6fo0jAzQsIbLJZV1W,New age disco,74,podelfelt13,Philip Hank,57
4kD0F6x4vnKoWygSXEVUa7,"和レアリック / WALEARIC § Obscure Moods of Japonica (BALEARIC, ETHNO POP, AMBIENT, NEW AGE, JAPANESE)",261,0come_toshplus,Tsunaki Kadowaki,57
4SOu3LHFejMX6hzzydrRcP,NEW AGE · Spiritual · Zen · Healing · Chill · 90s · World · Ambient · Motivational · Meditation,46,zonemeout,ZoneOut,51
2QuVRXOXBwgl0WQFuq60VG,Best New Age Piano for Reading (Part 1),63,jjkjjkjjk007,jjkjjkjjk007,50
2kwoUiD3gzHxRr49i6kVZN,New Age Radio,184,riwu9r1wxqr9echgb0sdh34pd,Nicole,34
3W4fxch5jvbwRhQmMW5fgb,New Age Jazz,72,t1frl9gl1sf8zutvo7ixftgzd,Richardkarwat,34
