track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6WsU3HdIeYfZoQDmk9266u,Walking Amongst the Stars,6XJykeImeaTIiXaeoORBs5,Deep Sleep Music Collective,35qXKqVXcf61SBEguJHW7x,211013,2019-06-11,5,0.27399999999999997,0.0008460000000000001,2,-41.543,0,0.0586,0.996,0.914,0.127,0.0375,135.72299999999998,46mh0fgxTsZsQTVLejGd0p,New Age Deep Relaxation Music for Everyone
66fKIbn90iaQZ0jEuurozt,Oblivion (feat. Susanne Sundfør),63MQldklfxkjYDoUE4Tppz,M83,2c2LYEw0HUMODjiFXb2q3p,356674,2013-03-26,1,0.39899999999999997,0.612,4,-7.814,0,0.0358,0.00317,0.33,0.127,0.0567,128.167,1xgQ40VZoyJOMAvhXKEp4r,New Age / Instrumental
7ocJPvoS4xnFcaFc4B3AJj,A Lovely Place to Be,6T7JFvP8qvpOia4q43OmbJ,Patrick O'Hearn,2G7NJdUQxp6vAO0arTebvj,530800,2001-01-01,43,0.0992,0.012,3,-29.215,0,0.0407,0.977,0.963,0.0972,0.0342,89.71700000000001,3hDWEELdaUjBONwNB2jMGV,The Sound of New Age
79jU0BAe5j5jeT0G3D5QBS,Beyond Infinity,5h1hhJNC7zE9yzuC7NzlAP,Robert Haig Coxon,5DnfSPGhfgejFfKxJsLT9s,468920,2004-06-01,28,0.309,0.0704,7,-23.23,0,0.0417,0.987,0.951,0.0658,0.0621,63.903,4Jm8LcX9B9AcwSn9d1ZpOE,New Age Music
0P7qfZtxh3swBWW0Sw1cnD,Medicine Woman,2kD8q4RE7i59z0kX7YidhP,Medwyn Goodall,05GH1OhGRgOwjM6kKl3hvR,343893,1992-01-01,39,0.485,0.0802,1,-23.093000000000004,1,0.032,0.0905,0.897,0.0849,0.0787,92.406,3hDWEELdaUjBONwNB2jMGV,The Sound of New Age
0yDS8EBpvL1ZpA8Ew3NBQB,Another Day,42cJJFnBJRcimCR8EdzkIS,Yurina Shin,085Qb3oTwuUkg8aHN3JLND,243770,2014-05-05,1,0.386,0.193,5,-9.579,1,0.0321,0.971,0.131,0.11,0.0817,111.624,5rMPTIwSYGkpUeshGkwGoc,New Age Music Radio
7qrz8CJ0qZ0IOHw9YbdIFL,La Carisso Le De,5f65bb50eWlg1WQkfHangF,Enam,3a2qLqhvNdMdMQLF0Ua03B,166666,2005-03-01,6,0.5770000000000001,0.441,1,-13.38,1,0.0319,0.752,0.0,0.0797,0.858,116.259,5rMPTIwSYGkpUeshGkwGoc,New Age Music Radio
4NYsIP3pYoT7U9sJiZMcqL,Dreams in Bloom: The Encounter,5V5k0kd0tU86LOXrjb0YY0,Peter Xifaras,72Xb4PEgS9k3lIQAamstsq,264448,2019-04-10,6,0.745,0.782,11,-10.804,0,0.0365,0.109,0.905,0.14800000000000002,0.28300000000000003,120.006,5rMPTIwSYGkpUeshGkwGoc,New Age Music Radio
0zJD5iSd6tkeXChKnoVQ0q,Swiftwater,7KIUniWu3TCqv4qjg33Hgh,Scott D. Davis,7COME4KJQzsJ8dPzKYMcla,293386,2013-07-02,33,0.332,0.36,3,-15.022,0,0.0358,0.973,0.909,0.192,0.17300000000000001,135.83100000000002,1E3DwWIhY9eX2MLr3plPSt, New Age Music Channel
1785YeXg5bs4BaY2I8jzW9,Truth and Being,5KidkppzAHxS03tH8hSu2m,Matt Borghi,64FwP1ugA7282OX1iJuUhx,284785,2016-09-16,7,0.247,0.007209999999999999,0,-32.129,1,0.051,0.995,0.858,0.0946,0.25,66.545,0v1UrdKbNQlikQB3H5fpZY,New Age Ambient
0cPSVrSv9YtRv0Tr7YwydB,Healing Keys of Light,40tqIiKClGVYgzgxL4YoQw,Abe Hathot,6GTHW7lboExAvWar1uaIhm,308000,2020-02-06,46,0.114,0.188,7,-25.055,0,0.0408,0.845,0.9490000000000001,0.113,0.0566,74.92,2b6hK50o0oIxN9h7KpsUAi,ENLIGHTENMENT : meditation | relaxation | new age | yoga | mindfulness | zen | spa | qigong | massage | sleep | brainwave entrainment | world music | reiki | spiritual | healing | prayer | worship
7iWE958nZjkIhM0YNFG5p1,Spiritual Growth,2JeVaOY36cSNAVxusXFZU2,Kundalini Yoga Music,2dLJXrPiEnlRVQAGPoj4g6,122000,2011-02-16,15,0.09699999999999999,0.21600000000000003,0,-17.932000000000002,1,0.0397,0.537,0.773,0.152,0.0345,84.459,4Jm8LcX9B9AcwSn9d1ZpOE,New Age Music
2ZpEEOTLfkyUfPRGWkqcoK,Deep Breath - Original Mix,2i7E6COFx7yMaWVLntONK8,Easy Ambient Mind Body Soul Healing Meditation Music,2EyiCrAiWzFLjwbYP8N4aR,259585,2019-07-01,2,0.27899999999999997,0.0634,1,-24.323,1,0.0403,0.93,0.987,0.102,0.0586,95.51,46mh0fgxTsZsQTVLejGd0p,New Age Deep Relaxation Music for Everyone
