track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3tmDp6A2ycEfhZ9CMFQ425,Palm Reader,3mdJ7xExgfvMfYEAK7rEy7,Christie Huff,71QVuVvKYOC8F4HdVbmAXD,256004,2020-09-25,45,0.39799999999999996,0.41700000000000004,11,-6.207999999999999,1,0.0368,0.747,0.0,0.11800000000000001,0.20199999999999999,189.358,37i9dQZF1DX5mB2C8gBeUM,Wild Country
6nscjUEyl7ICnQkAGfNOuA,Came Here for the Beer,7DFV3Usu1Jrcyn45Kx31Bc,Riley Roth,16zzrvzLm7uX7QKeHOQHju,185855,2020-08-14,40,0.662,0.8290000000000001,5,-5.106,1,0.0414,0.22,0.0,0.39399999999999996,0.8370000000000001,91.501,37i9dQZF1DX5mB2C8gBeUM,Wild Country
2TIdEu4aruzo33MTEUDGcf,Sunday Drive,0qSX3s5pJnAlSsgsCne8Cz,Brett Eldredge,5am18BIdjp6lOvt9KjKbSd,293933,2020-07-10,57,0.327,0.214,3,-10.382,1,0.0355,0.9279999999999999,0.0,0.10400000000000001,0.35100000000000003,73.863,37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse
16kqEZBfhhK8XlQpauKej1,I Love My Country,3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,6HQLji6pkqG4guxd9YcFTP,184554,2020-03-27,23,0.5379999999999999,0.941,4,-3.582,1,0.0639,0.0227,0.0,0.302,0.585,140.04399999999998,37i9dQZF1DXdfhOsjRMISB,Country Drive
3ElEikFqt5XEkQrauyEqok,What He Does,5QpNKnsD0biAkM2sHA7OXR,Rachel Wammack,2TnSLhXYxsssIxlyXdfzXl,209046,2020-08-14,49,0.511,0.7809999999999999,6,-4.891,1,0.049,0.00322,0.0,0.14,0.32799999999999996,134.951,37i9dQZF1DX49poIUZYXp7,Women of Country
4y8Ry52k2gSPsGg5DNoUy1,Stay With Me,0fk1FyICPn6dLHml2YUxDT,Patrick Cornell,0KZ3rfifO6qgkDC3ELG1NP,179008,2019-02-14,48,0.6859999999999999,0.47600000000000003,7,-7.921,1,0.0471,0.249,0.0,0.106,0.5920000000000001,93.008,37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse
0NLBwQBYJhEM9t3KAMPFVR,Sold (The Grundy County Auction Incident),7mPcfx7PhnBh6n4HMCd61A,John Michael Montgomery,5UPjyfi3zD7Oak7frjH8zk,152186,1995-03-17,68,0.7709999999999999,0.848,2,-7.365,1,0.035,0.10800000000000001,0.0,0.35,0.8029999999999999,115.64200000000001,37i9dQZF1DWVpjAJGB70vU,90's Country
6DEaND0SHv3sC11xobZLiy,Take Your Time,2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,0V7c0hnrLUFJyHNtjiAT2E,243706,2014-10-27,68,0.5579999999999999,0.7190000000000001,11,-5.603,1,0.0419,0.10099999999999999,0.0,0.212,0.483,158.031,37i9dQZF1DX9hWdQ46pHPo,Forever Country
4bWlAEbGHhPKQNjhTstN2p,Free,6yJCxee7QumYr820xdIsjo,Zac Brown Band,0Im5nUhAuNDSYVjfPh7RyS,228653,2008-11-17,2,0.45299999999999996,0.41200000000000003,1,-7.539,1,0.0276,0.24,0.00021,0.10099999999999999,0.282,75.752,37i9dQZF1DX5iKSDtVcf7Q,Heartland Country
1ecIqo8pOc8S6y3l80iGxd,Fancy,02rd0anEWfMtF7iMku9uor,Reba McEntire,0Rb3coYXuUlgRLoi3UhADa,296320,2006-01-01,59,0.675,0.54,4,-10.139,1,0.0774,0.204,0.0,0.0688,0.514,94.959,37i9dQZF1DXaiEFNvQPZrM,Country's Greatest Hits:  The '90s
2QMvcDXdOjZEw6dNQ8QF71,Get On,4IXAxCHuarvDtv7K0NS6x6,Jojo Mason,1DoEdZ0yjTBZqA3GzdJMXs,166760,2020-10-09,34,0.623,0.828,10,-5.614,1,0.0367,0.102,0.0,0.122,0.6709999999999999,155.976,37i9dQZF1DX5mB2C8gBeUM,Wild Country
0qkdE1C0ufnUISKwhg8Wh6,What If I Never Get Over You,32WkQRZEVKSzVAAYqukAEA,Lady A,2Ni5tXmyXPTG4jeQxvSqjv,206597,2019-11-15,70,0.5760000000000001,0.7240000000000001,0,-5.147,1,0.0274,0.016,0.0,0.107,0.34,93.029,37i9dQZF1DXdfhOsjRMISB,Country Drive
4bZsLI9lZgSu3MN99kDbic,In Between,6ZV6lGY0prbqpTD0Md8i29,Scotty McCreery,3OTNvYUGlsb091nCxTMRON,221600,2018-03-16,24,0.5920000000000001,0.9279999999999999,11,-5.403,1,0.0557,0.0166,1.3800000000000002e-05,0.12300000000000001,0.391,121.99700000000001,37i9dQZF1DXdfhOsjRMISB,Country Drive
3gVRILe7XCyNakb6sy5umX,When She Says Baby,3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,2uXHwdc2aTcUP2EhXKhPRu,171120,2012-10-16,60,0.6729999999999999,0.76,0,-5.126,1,0.0361,0.0682,0.00011599999999999999,0.309,0.807,113.06299999999999,37i9dQZF1DXdfhOsjRMISB,Country Drive
0oTGa77jJ1H5joTG5SvxFj,Second One To Know,4YLtscXsxbVgi031ovDDdh,Chris Stapleton,5L0e8X6Mf9lfjs2miK2WUB,176066,2017-05-05,59,0.529,0.89,0,-6.104,0,0.0388,0.0185,0.00112,0.341,0.875,96.73100000000001,37i9dQZF1DWWH0izG4erma,Country Rocks
3ae686rmXIGq7ufDlozcde,Some People Do,6y8XlgIV8BLlIg1tT1R10i,Old Dominion,2u7YB4vGWWHqWJrBJTqT7V,196266,2019-10-25,18,0.637,0.22699999999999998,9,-9.459,1,0.0378,0.858,0.0,0.10099999999999999,0.32299999999999995,113.10799999999999,37i9dQZF1DXdfhOsjRMISB,Country Drive
0PZLSFZUf910nZ9qFtQqAf,Dreamer,14dULnNGmLKnS59BzNrHi4,Isbells,7r5q7TFJ9TnRoVUOhYfZRI,265013,2009-12-06,0,0.629,0.38299999999999995,8,-13.195,1,0.044000000000000004,0.735,0.0259,0.0928,0.42100000000000004,154.001,37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse
1mJMD1VIQ7jWTP9DK2zmY0,Kiss Somebody,6fzQ81ouajOEFqCIB9VwrS,Morgan Evans,2AQJVx5WiteEOyfmrY7Kgx,212445,2017-07-21,57,0.49200000000000005,0.6809999999999999,6,-7.037999999999999,1,0.075,0.14300000000000002,0.0,0.19899999999999998,0.511,178.01,37i9dQZF1DWYnwbYQ5HnZU,Country Gold
515UGTaaZQyCgthVxhWTbU,Burning Down,4v2DyasTOGK3Pv90w75yar,Striking Matches,2crKE8V3gDJVhribqhsPh9,189579,2019-05-03,44,0.6409999999999999,0.902,2,-3.917,1,0.0373,0.0053,0.0,0.0723,0.667,94.946,37i9dQZF1DWWH0izG4erma,Country Rocks
