track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
29JOtyhGMv2gfikATHJlCF,Warning (feat. Stick Figure),1YK8JdPbiaMSnf4hrlBkGT,Pepper,3H0eh5wIky3GjF83fRcDT0,232160,2019-06-28,52,0.8009999999999999,0.527,1,-7.191,0,0.118,0.0192,0.118,0.131,0.52,76.02199999999998,37i9dQZF1DXbwoaqxaoAVr,Sunshine Reggae
0HMTIZ3iQ6QNjBaD9IE7ZZ,Dime A Ve,0EFisYRi20PTADoJrifHrz,Jhay Cortez,1RoLxBHVdA82scD03CqIyO,213200,2020-07-03,74,0.773,0.753,10,-4.173,1,0.06,0.122,4.8e-05,0.102,0.56,179.983,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
50v1eu9dBqYk8756n76LNf,Trapicheo,0xHe1oAwMjVCgu4mFpURNX,NachoAbadal,6OnNKFYcZAMPnKuAQhOch0,129816,2020-06-16,39,0.5489999999999999,0.7070000000000001,1,-4.291,1,0.208,0.457,0.0,0.272,0.759,106.981,7Juq9sxsONkWeFk7FhdLxa,Reggaeton Actualizado🔥
3wYRLYuO1M88d8woWUIxct,Ignorantes,4q3ewBCX7sLwd24euuV69X,Bad Bunny,7Hw9RJbQPN0gUx4xjgFLhj,210606,2020-02-14,79,0.85,0.536,1,-5.1610000000000005,1,0.0599,0.267,3.89e-05,0.0996,0.505,96.029,4B5rhAH80qM2Sj3wCyr0jC,REGAETON 2020 🍑 REGGAETON 2020 HITS
0KVlDknz1cD4IlgRsRm4LU,Tú Le Metes Fuego,0jRuTSSjLM8h3Bp3yPDtId,Power Peralta,4Qhm7F7GV4aTv4OqtiThnV,189885,2020-08-07,41,0.74,0.721,2,-3.848,1,0.151,0.0306,0.0,0.108,0.4370000000000001,174.976,7xWuNevFBmwnFEg6wzdCc7,Reggaeton 2020 ☀️
2fxmV4oZNFCZGXgJ8tN9Jf,Chica Virtual (feat. Arcangel),2ydZrTy8U3kOMOzx20s3dg,DJ Nelson,2BWXXmkWvvqCFc5qzbi22D,264212,2007-04-03,49,0.906,0.53,9,-6.108,0,0.0555,0.14,0.000204,0.102,0.7929999999999999,111.017,37i9dQZF1DWWU6Rfto8Ppm,Reggaetón Viejito
7KKh0ujp8agIiCrkiJhf81,Jangueo,2R21vXR83lH98kGeO99Y66,Anuel AA,7JtT7OyWM8BnIS5FXXPMKg,231745,2020-05-29,78,0.863,0.728,7,-2.954,1,0.0586,0.396,9.14e-06,0.0902,0.649,93.035,4B5rhAH80qM2Sj3wCyr0jC,REGAETON 2020 🍑 REGGAETON 2020 HITS
0kwaKhIcaezQuShga1djFA,Baila Morena - Original Reggaeton Mix,5aB4SpKYteOJ8pAleoKkg7,Hector & Tito,6bkuWevak6ZwLiXZaNVNSr,187080,2005,0,0.7829999999999999,0.8240000000000001,0,-4.973,1,0.123,0.214,0.0,0.102,0.726,93.998,37i9dQZF1DWWU6Rfto8Ppm,Reggaetón Viejito
5DoLhdU27owX1NMrKLUbUl,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",6HqgxkTt9KGyt27zYrwVan,Super Yei,0W13Em98CWIfEvoh9wuwPu,260545,2017-03-31,87,0.863,0.669,6,-5.952000000000001,0,0.282,0.111,0.0,0.0569,0.947,164.062,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5VW1EsUBGGCng7GhBvtElx,Entre la Playa Ella y Yo (feat. Vato 18k),1a2HwAlOE2wUPmNisvZxSw,Big Yamo,4Sn86SNY1HswKTL162N0Re,184974,2013-04-27,0,0.852,0.794,8,-4.91,1,0.0955,0.452,0.0,0.285,0.972,85.01799999999999,08mTMG7Xc6kBj4r1qdInNO,Reggaeton Viejito🔥
2sRBBbS2vsnYDd9PUVtVKX,Miralos,33ScadVnbm2X8kkUqOkC6Z,Don Omar,7AK9i6a4yCm8JnMbOmRtg9,193384,2017-06-27,31,0.747,0.972,4,-0.624,0,0.125,0.146,0.00028,0.0719,0.6779999999999999,94.906,37i9dQZF1DWWU6Rfto8Ppm,Reggaetón Viejito
23MEeQTkSmsDS6NjL8k6I8,Te Mueves,21451j1KhjAiaYKflxBjr1,Zion & Lennox,7bXAW0bJlKegj77HgbRJm8,232421,2020-07-17,74,0.755,0.804,1,-4.3,0,0.151,0.0541,4.78e-05,0.175,0.698,95.067,7xWuNevFBmwnFEg6wzdCc7,Reggaeton 2020 ☀️
2fDS9RVbESui1ufoov4nGJ,Mucha Experiencia - Su Reggaeton Mix,7FnZWGw9lwOr7WzieTKEPR,Los Pericos,4IIfIS47aChs97w8hrgCcY,195348,2018-11-02,52,0.7170000000000001,0.551,7,-7.927,1,0.198,0.0397,0.0,0.251,0.7829999999999999,172.045,37i9dQZF1DWVYs6zNzJ0ci,Reggae en Español
3gD4J3RUHy4OUuZ3qAiaiG,Caramelo,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,6HZe6aICWesZsze5OKlvMD,217546,2020-06-11,90,0.728,0.8059999999999999,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084,4B5rhAH80qM2Sj3wCyr0jC,REGAETON 2020 🍑 REGGAETON 2020 HITS
1bFbEZctiGZItamYIBlRAL,Vocabulario Básico,2AbQwU2cuEGfD465wCXlg2,Rawayana,1Kj9PBn932t5zoNc9E1W4p,249986,2013-05-19,50,0.759,0.4970000000000001,6,-11.316,1,0.155,0.173,2.4100000000000006e-05,0.124,0.562,87.00399999999998,37i9dQZF1DWVYs6zNzJ0ci,Reggae en Español
1kQqiC1rS1FiuVpeBKN0QN,Rakata,1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,0mfiGkVJST0ysEVznu2aZP,172680,2005-01-01,23,0.872,0.7859999999999999,1,-5.473,1,0.142,0.0348,0.0,0.0776,0.722,96.002,37i9dQZF1DX8SfyqmSFDwe,Reggaeton Classics
1dQQzEYri02HhHvkbDfBsB,Fotogenica,4fWuEejNz8Oj6Cr3LzdwQb,DJ Memo,07CHBy7IMsHkCowmzlfzJn,227242,2016-07-01,51,0.789,0.833,7,-6.337999999999999,1,0.0666,0.14300000000000002,1.67e-06,0.256,0.472,95.014,08mTMG7Xc6kBj4r1qdInNO,Reggaeton Viejito🔥
2j6rI6qUlSAAaLbrND8qvW,Se Revelo,6L6VLFBIUYAQdhaqWQdHIs,Seeny,62jznp5WwPu1A1ogVWUoff,218181,2020-05-15,35,0.736,0.593,10,-8.552,0,0.16899999999999998,0.0676,1.56e-05,0.0831,0.389,175.91,7xWuNevFBmwnFEg6wzdCc7,Reggaeton 2020 ☀️
5RCcvZz5i0rckjbCTSPL1s,Aparentemente,2MReIVWfLvZg1oYMPZ2EIn,Yaga Y Mackie,7tZ6A3h843NyVgqtOD4e8Q,303542,2015-07-14,23,0.86,0.6990000000000001,3,-6.415,0,0.0974,0.0827,0.00197,0.26,0.871,93.992,08mTMG7Xc6kBj4r1qdInNO,Reggaeton Viejito🔥
47qQfXIFb9i32uij3IenXn,Vou Pro Mar Iemanjá,3h7RaVXBvdSNa7LXQtVYqH,Armandinho,1b5Ca3qcOMSyZJxs8c4LMh,216979,2020-06-18,52,0.8340000000000001,0.293,9,-11.561,1,0.0483,0.578,0.00253,0.3720000000000001,0.524,133.075,37i9dQZF1DWTMlvEhEJDRB,Nação Reggae
5yQW46XPWdGqkX2PyMegLD,Pescador,3h7RaVXBvdSNa7LXQtVYqH,Armandinho,4LEeNDHmnXsM04yoJARCYu,179466,2007-01-18,56,0.693,0.6829999999999999,6,-7.362,1,0.0442,0.18600000000000005,0.0,0.13,0.742,152.287,37i9dQZF1DWTMlvEhEJDRB,Nação Reggae
6I0plGAlobSnXZ2l4xNju7,No Consigo,7MFziD8uUUFIyDaBRMnJYm,LeMagic,2deFpaKFTwudCg9Sh3rBV6,201280,2020-05-08,43,0.726,0.936,11,-1.695,1,0.197,0.14300000000000002,0.0,0.0615,0.8190000000000001,184.108,4csIMGPI3aGo3Xy7WG8jBi,Todo Reggaeton
09qIdioXLJPGXAM9zsy20v,Aprovecha (feat. Daddy Yankee),6ZK8loFAzWKSFe3b7Lrq4V,Nova y Jory,3EnaZ9NS7K6avHw6TfOUta,222240,2011-07-12,59,0.624,0.772,7,-4.687,0,0.165,0.17800000000000002,0.0,0.11,0.589,172.014,08mTMG7Xc6kBj4r1qdInNO,Reggaeton Viejito🔥
75TVVHMrlPcoCstgBMV1XV,Boca Suelta,6QHHahauE7Sf3fgA7JTdYO,Malucci,7McbxRhZX5u2gijxL1FEYM,191086,2020-09-25,53,0.867,0.517,8,-6.7970000000000015,0,0.158,0.763,0.0119,0.102,0.705,91.964,4B5rhAH80qM2Sj3wCyr0jC,REGAETON 2020 🍑 REGGAETON 2020 HITS
5wBauhWmIU3IbThhEl05zg,Election Time,4L3GTE04bW5N7azA9QPhjA,Beenie Man,3QyJ6rtQyRluGQKo8a6lRS,151579,2020-09-25,41,0.769,0.715,7,-6.362,0,0.403,0.563,0.0,0.0996,0.408,105.038,37i9dQZF1DWSkkUxEhrBdF,Reggae Infusions
4CZtyjaSq1RilbT2b5oQrs,No La Mires,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,69iuPQsXel3luOSDNF0q2Q,211333,2020-09-04,70,0.711,0.772,7,-5.08,1,0.109,0.219,1.1e-05,0.122,0.6890000000000001,173.986,03sDEv7FN58Mb9CJOs1Tgn,Reggaeton 2020 😍 🔥
2fau32jRbkSUQgH6R7VX9Y,Dale ParaTra,7tU1VKOuxiNZwBZC6RHidA,Alexis y Fido,7jcuqVDIb9BYElfLRxjy3h,170320,2020-05-15,37,0.7609999999999999,0.938,4,-4.9689999999999985,0,0.134,0.0376,1.5399999999999998e-05,0.32,0.6679999999999999,99.0,7xWuNevFBmwnFEg6wzdCc7,Reggaeton 2020 ☀️
4XvuRDrWteHQGLBOXbAkFZ,Longing For,1bSn5aMcE83TXLlLDU9rTy,Jah Cure,40BYBDHTNouG1hMQh1iDZn,232000,2007-08-21,54,0.67,0.541,4,-7.415,0,0.293,0.29,3.11e-06,0.0751,0.488,167.935,37i9dQZF1DWYtKpmml7moA,Chilled Reggae
74QPlO6vWckHKo6gh2128D,Loco Loco,5Nlv2cQXbAnlaiXpwEWvKw,Ghe,5TSmOwr2djXF43tyDarXCB,177391,2019-01-25,26,0.764,0.662,5,-5.619,0,0.147,0.274,0.0,0.0529,0.921,91.975,7xWuNevFBmwnFEg6wzdCc7,Reggaeton 2020 ☀️
