track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
70YvYr2hGlS01bKRIho1HM,La Grange - 2005 Remaster,2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,0Em8m9kRctyH9S3MTXAHvY,230480,1973-07-26,75,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,37i9dQZF1DWWwzidNQX6jx,70s Rock Anthems
1oG2vWELiGjIqxwqGcyqwF,You Really Got Me,1SQRv42e4PjEYfPhS0Tk9E,The Kinks,3hXXoaAA09avxBSSxtPIaL,133933,1964-10-02,0,0.5670000000000001,0.959,8,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377,37i9dQZF1DWXRqgorJj26U,Rock Classics
3fkPMWQ6cBNBLuFcPyMS8s,Burnin' for You,00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,7v4kEpVtppoMm80m43lGzt,271000,1981-10-23,67,0.532,0.728,9,-9.079,0,0.0352,0.106,0.0108,0.0849,0.69,134.303,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos"
1DKAjHZD5QDq9tAwiZhhCX,Bound,37EbZutVi8JaIn1lhFBx45,Ocean Hills,4T4gIMdh94mwbbOaC85qSC,178973,2020-09-25,38,0.409,0.8420000000000001,1,-5.35,1,0.0304,1.03e-05,0.0393,0.182,0.5760000000000001,185.929,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard
1dJuteDIOkGfDSN7zPkzNv,She Don't Use Jelly,16eRpMNXSQ15wuJoeqguaB,The Flaming Lips,0rr668ZzoNDQa1yxhSpBAw,222278,1993-06-18,61,0.33,0.556,7,-11.494000000000002,1,0.0796,0.207,4.39e-05,0.315,0.506,173.828,37i9dQZF1DX1rVvRgjX59F,90s Rock Anthems
2HXixVqzzm9rEUIMAWzshl,I Hate Myself for Loving You,1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & The Blackhearts,2pkv3nrNrwtUdT8VNWwt5U,246800,1988-05-23,69,0.611,0.883,9,-11.225,1,0.0539,0.0846,1.2e-06,0.192,0.604,117.928,37i9dQZF1DWXRqgorJj26U,Rock Classics
6wjSNO6uJYlgbbfauyWhiw,Wind Of Change,27T030eWyCQRmDyuvr1kxY,Scorpions,4mGV3pZqcrUk0OSC8HBT96,313226,1990-01-01,0,0.453,0.5429999999999999,0,-10.106,1,0.0366,0.297,0.0,0.0928,0.282,151.362,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
4nXkbcTj3nyww1cHkw5RAP,Long Train Runnin',39T6qqI0jDtSWWioX8eGJz,The Doobie Brothers,0M2KWMbvY5x1sUnIKNpyUt,207266,1973,72,0.575,0.912,7,-7.275,0,0.0393,0.0916,0.0021100000000000003,0.0562,0.843,117.399,37i9dQZF1DWXRqgorJj26U,Rock Classics
3IcAz5wzEQ5QNrKon1RIXt,Spin Around,13Ylbs7MuHVzA0SsdQeG4N,The Eiffels,4xMfoCAR9yYiabYohsk3ui,177299,2019-04-05,36,0.623,0.908,0,-4.1110000000000015,1,0.0317,0.0059,0.0,0.0879,0.745,129.028,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos"
0swJk3Hoi5woYCdfnL5lWj,Rebel Yell - 1999 - Remaster,7lzordPuZEXxwt9aoVZYmG,Billy Idol,2GWgADRfO423cyzHa1rKc5,287866,1983,0,0.536,0.611,9,-11.372,0,0.0411,0.000472,0.0362,0.14300000000000002,0.438,166.766,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos"
4u9f8hqstB7iITDJNzKhQx,My Generation - Stereo Version,67ea9eGLXYMsO2eYQRui3w,The Who,6Oc6Ok1Oawu8lRkjmD4mXy,198706,1965-12-03,68,0.412,0.782,2,-9.186,0,0.058,0.308,0.00822,0.0775,0.705,96.732,37i9dQZF1DWWRktbhJiuqL,Pure Rock & Roll
6cJqlSO19vsfCsH1FeFI35,Santeria,0EdvGhlC1FkGItLOWQzG4J,Sublime,5dwkpREUiLdmPLy4POzFSa,183200,1996-07-30,0,0.6729999999999999,0.772,1,-5.246,0,0.0427,0.0223,1.23e-06,0.141,0.585,90.356,37i9dQZF1DXcmaoFmN75bi,Rock Forever
371VkfwKiXJxgH5ZPoQNHD,The Joker,6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,6jIR8ITF5YSa3i9ILvA9E1,264503,1973-01-01,0,0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.7959999999999999,83.29299999999998,37i9dQZF1DWXRqgorJj26U,Rock Classics
0QduPQXz3X76CVXJ7Wa9PH,Make It Out,4WQwU51LUtrVrw0K8BMpAC,Jaguar Sun,2QRoYyEAB2qJhBD4RvorkR,244949,2019-04-02,44,0.64,0.611,2,-10.78,1,0.0357,0.201,0.8390000000000001,0.115,0.502,160.00799999999995,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
4jKq1e80xAYixkIwt6YyV1,Brick,44gRHbEm4Uqa0ykW0rDTNk,Ben Folds Five,3oz8kworUyU7oXjaEVhDsZ,271720,1997-03-18,57,0.542,0.454,2,-10.247,1,0.025,0.645,0.00279,0.15,0.267,96.881,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
7r6KRHz2HAjoaBQCtQJfzR,Here I Go Again - 20th Anniversary Remaster,3UbyYnvNIT5DFXU4WgiGpP,Whitesnake,38rnKXPLVugFCU10JJ6zbe,270160,1987-04-04,0,0.411,0.898,7,-4.121,1,0.0417,0.21,1.57e-05,0.243,0.247,90.721,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos"
4KfSdst7rW39C0sfhArdrz,Barracuda,34jw2BbxjoYalTp8cJFCPv,Heart,1LaeNhiUpL3X6N0LcFvuDF,261933,1977-05-14,74,0.547,0.691,4,-13.553,0,0.0369,0.015,0.105,0.14400000000000002,0.667,137.148,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos"
77oU2rjC5XbjQfNe3bD6so,Beast Of Burden - Remastered,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,1Jv2AqzhgsduUik2p4k3cS,265173,1978-06-09,74,0.7829999999999999,0.878,1,-3.864,0,0.0308,0.39,0.000778,0.0426,0.885,100.626,37i9dQZF1DWWwzidNQX6jx,70s Rock Anthems
300zfRaCgTmEm5Eqe3HqZZ,Ghostbusters,0NyzfcGDZZ6GM25EBG9BYK,Ray Parker Jr.,1Fq1oCtmlSQabl1zIdoWCg,240800,2000-02-08,64,0.779,0.7170000000000001,6,-9.7,0,0.0335,0.0125,0.0536,0.355,0.789,115.384,37i9dQZF1DXb3m918yXHxA,Yacht Rock
73jxc8OqPUqXEzsRnCgw8M,Love Song,0dgnITyIAN4NrmUVisvxHU,Tesla,2FJ0CYfIvogvi1gV6dH8Gl,321266,1995-01-01,53,0.355,0.379,7,-8.172,1,0.0361,0.396,0.0393,0.15,0.329,164.989,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
2hCOLHDVQhnu0qpLFV4ynj,Nightmares,7uwY65fDg3FVJ8MkJ5QuZK,Easy Life,0y6NUCloXhKFoYGZ1m3P96,207003,2018-09-28,64,0.6629999999999999,0.6559999999999999,10,-5.803,1,0.0875,0.187,0.0,0.522,0.667,88.973,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,6C9WzlQANeoD0GW5B41YJt,308120,1976,76,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000211,0.297,0.382,141.47,37i9dQZF1DWXRqgorJj26U,Rock Classics
0TAHhMjG17P5pzlSm1sgSl,Funky Galileo,1anAI9P9iSzc9qzLv6AtHZ,Sure Sure,4FpWPCgvF7mSQpDZGZgwSU,246200,2020-03-06,57,0.802,0.325,10,-9.327,1,0.0466,0.16399999999999998,0.162,0.156,0.648,110.995,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
