playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWWEJlAGA9gs0,Classical Essentials,172,spotify,Spotify,2084424
37i9dQZF1DWV0gynK7G6pD,Classical New Releases,56,spotify,Spotify,556845
37i9dQZF1DX9G9wwzwWL2k,Epic Classical,106,spotify,Spotify,466633
37i9dQZF1DWUvHZA1zLcjW,Chilled Classical,88,spotify,Spotify,408159
37i9dQZF1DX8Sz1gsYZdwj,Classical Sleep,72,spotify,Spotify,346517
37i9dQZF1DX4s3V2rTswzO,Classical Romance,97,spotify,Spotify,328063
37i9dQZF1DX0Aaer4Jzfgm,Easy Classical,66,spotify,Spotify,311679
1ZJpJahEFst7u8njXeGFyv,Relaxing Classical,60,sonymusicuk,Filtr UK,307932
37i9dQZF1DX9OZisIoJQhG,Morning Classical,47,spotify,Spotify,264392
37i9dQZF1DX0i61tT0OnnK,Space-themed Classical Music,77,spotify,Spotify,248385
37i9dQZF1DX7cBprxbt1Fn,Gentle Classical: From Dusk till Dawn,102,spotify,Spotify,241283
37i9dQZF1DX6K3W8KBiALe,Classical Moments in Movies,72,spotify,Spotify,240855
37i9dQZF1DX2mmt7R81K2b,Jazz – Classical Crossings,55,spotify,Spotify,221231
37i9dQZF1DWUPafHP1BJw1,Pop Goes Classical,95,spotify,Spotify,205218
6sNDAFPubg3k4CuyH1fqrR, Movie Soundtracks & Cinematic Music (Classical & Instrumental),716,1139683356,Tobias Schneider,186952
36qQ3naFyPxCbbr7QpdADN,Classical Music for Reading,244,legacysweden,Filtr Legacy Sweden,153218
37i9dQZF1DXd5zUwdn6lPb,Classical Focus,100,spotify,Spotify,144557
37i9dQZF1DX4P0ijJK5lUv,Classical Christmas,121,spotify,Spotify,138368
37i9dQZF1DWXBq4mDDFnfA,Classical Guitar 50: Spotify Picks,50,spotify,Spotify,112669
37i9dQZF1DWYkztttC1w38,Classical Reading,115,spotify,Spotify,100574
37i9dQZF1DX2aCk0vzzaZQ,Classical Music For Metalheads,65,spotify,Spotify,94768
5ifMsPihlkYEGCakqfqj17,Classical Piano Essentials,170,doublejmusic,Pianoramix,89794
37i9dQZF1DWSw8liJZcPOI,Not Quite Classical,80,spotify,Spotify,82723
1h0CEZCm6IbFTbxThn6Xcs,Best Classical Music,72,peacefulclassics,Peaceful Classics,79938
37i9dQZF1DWYtpM7d4h5Xa,Pop Songs Based on Classical Music,100,spotify,Spotify,77874
37i9dQZF1DXbm0dp7JzNeL,Sad Classical,61,spotify,Spotify,72238
37i9dQZF1DWVFeEut75IAL,Calming Classical,95,spotify,Spotify,69955
72oczUf02H4RGoaUBC87JQ,Mozart: Classical Music for Studying,48,halidon,HalidonMusic,69059
