playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWVCHIm2MEeIy,Electronic Circus,70,spotify,Spotify,603067
37i9dQZF1DX8AliSIsGeKd,Electronic Rising,66,spotify,Spotify,413014
5Udnh472z0CeexGPSpdIw9,Dance Music 2020 | Deep House & Electronica,126,x43zjmj9fxfa65thdh3xeetli,Panther's Groove,382261
37i9dQZF1DX3XuTDjo5z5z,Electronic Concentration,79,spotify,Spotify,258797
6dTEYYCzvvOdHXUid1uXj2,Electronic Dance VIBES,40,xznbyii4eo2o8yitdbexd4yv0,VIBE Lifestyle,124196
0lMaxAe5kUOaC9utBkcz1o,Electronic,9,azyfyc5g30m5u4iiwwx0hrvsn,dan,112905
37i9dQZF1DWYUYYlhkTuEn,Yoga Electronica,54,spotify,Spotify,112415
37i9dQZF1DWZaNRXtvIrDt,Top Shelf Electronic,80,spotify,Spotify,111809
4c2ioMQMB99zWmshecKKYK,Musica Electronica 2020,87,12124472742,Fernando Barillas Gamas,89078
37i9dQZF1DX0wMD4IoQ5aJ,Electronic Focus,98,spotify,Spotify,83020
2NAGzZNbDQHaOlXsb8Qsfr,Indietronica - Indie Electronica,261,enrouterecords,Enroute Rec,76902
2wSNKxLM217jpZnkAgYZPH,"Anjunadeep New Releases (Deep House, Techno, Electronica)",70,anjunadeep,Anjunadeep,75086
37i9dQZF1DXb2oE8NhWxT6,Classical Meets Electronica,30,spotify,Spotify,67740
37i9dQZF1DX5YyEO1dtgbR,Electronic Avant-Garde,50,spotify,Spotify,61225
1F5PQbbavzlVhIfpz32fUF,Lofi and electronic in one place!,32,12145746761,Igor Vedovoto,40804
37i9dQZF1DX4Y1uAfxGdKJ,Electronic Running,79,spotify,Spotify,38799
0I41QKgHkF8TPUSiUtnL6n,Ambient Electronic,961,cotter,John Cotter,35330
1AsVFc0487EvJwDqEIJHBa,Melodic Dubstep // Chillstep // Epic Electronic,957,122614182,Adam Morgan,29704
12uHWjT4W5DHJrY58XtdiO,"Electronica Éxitos 2020 - Tomorrowland 2020, Electronica 2020, Electronica para Fiestas, EDM Hits ",216,auxlondon,Aux London,29385
2LsvNFoCXJV3XEwC8d51Uk,Melancholica Electronica,81,a29b540qk0i4zg902t37qeyr1,Kiksuya Records,26357
37i9dQZF1DX9WbnZpHWMaI,Women of Electronic,52,spotify,Spotify,25782
1hNZYgTx3gh6RPBVU8x7GJ,Electronic,56,4wdi11tctuv9fdgzzfja2ybg6,Wonderlist,25559
0nHo7OoxCTeqeI5gOzUBTR,Pop & Electronic Workout 💪🎧,47,g8jvhh50frj5cpnp75sccuhzz,Ray William Jackson,24899
5GBJpEiKMiFy3cBPKR2TaH,Synthwave | Retro 80s Electronic,2804,12159337686,Patrick Spence,22215
57rLc4B0AUS2yKNwP9IMUr,Electronic Chill & Deep House,80,uoak,UOAK,19186
