track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1D6K9mrLpOPhhp2QIZRPHr,Pleasure,7si9pFZZlPdZPeOclH9vgm,Amine Edge & DANCE,5s2FzTftHvTfnAy2nr52V3,376320,2020-09-25,43,0.7509999999999999,0.902,5,-7.587999999999999,0,0.0582,7.2e-05,0.905,0.0611,0.698,125.008,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
2YQ4nsjw8CcOJUEJXP7NUn,In Need of Acid,14MtanGZe4G1fzC8raLFUK,Danny Howard,1VkmdO3yHR6f24xXpa9Fad,236718,2020-09-24,25,0.728,0.9590000000000001,10,-6.497999999999999,0,0.0641,0.0008619999999999999,0.6859999999999999,0.102,0.5920000000000001,128.019,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
6fKhqtaRlYubWApwu0EVEo,Bubble Ride,4admDxmnri5Zco0xYrJ0ji,Jamie Jones,2G4O758DtYi0RxzXVeGmlb,387866,2020-09-25,35,0.805,0.8,8,-8.652999999999999,0,0.0694,0.000241,0.9209999999999999,0.0771,0.647,124.01299999999999,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
76uVXixtaRku87tqrVHuci,Jmpng,2aysJuzHqgXqkPJDwwB6a1,Cayam,0agm5jmU3l1L28NAj2YhkH,340751,2020-09-18,41,0.782,0.6970000000000001,10,-11.040999999999999,1,0.0695,0.11699999999999999,0.934,0.11,0.267,135.965,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
5K4qx925V3yWu40PTMllDd,The Hills,297Z0teiCkp5s9eneWROpI,Kasablanca,2sRCqrXV1Vb3dw7oQkX9aA,298744,2020-08-28,38,0.617,0.785,2,-6.687,1,0.0343,0.000455,0.894,0.0744,0.111,126.022,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
5zBYq1HfbTCwbGjIgSP3Ou,Breathe,7tH1Y2LeCe2LUxvru8y7Df,Ronnie Spiteri,4PvcOkn8eOkoWwnxs8oKWg,433568,2020-09-11,47,0.813,0.677,11,-8.665,0,0.0643,0.00109,0.87,0.10800000000000001,0.36,129.001,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
0HR0F0Ghlh6DsSbUFZBOkf,Freaks,6oqv4rbOMlOZNOUoDFgBSp,Andrea Oliva,0xDlnOhza8faHZ5Brvwrcc,184000,2020-09-11,44,0.782,0.917,1,-6.34,0,0.0985,0.00642,0.8370000000000001,0.0471,0.4,125.977,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
2sEzCamONDlELy1PKStMIT,Bring It Back - Original Mix,4CBrawfeZ5WugRTqsXgwgI,Alex Breitling,0BLgHckf3yQdWx2WqOuZmk,398360,2020-08-21,35,0.778,0.8390000000000001,7,-7.916,0,0.0586,0.00375,0.888,0.11800000000000001,0.18600000000000003,122.0,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
1lmn2bUhGsqI4H9BSLcvkE,Regenerate - Henri Bergmann Remix,2CKaDZ1Yo8YnWega9IeUzB,Booka Shade,7z6Y2y70cFz8gM1eMITQod,461875,2020-08-14,39,0.626,0.794,7,-8.891,1,0.0416,0.004079999999999999,0.621,0.107,0.371,124.992,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
6Plk6RVsq8toCyphoCYZpg,Lets Go Now,1rV7LSzJ2ZzL3FicYplmLX,Dok & Martin,2so0rwLUdtjbli4dSHHYCV,404373,2020-08-28,38,0.785,0.799,1,-9.391,0,0.0652,0.00545,0.903,0.0893,0.243,129.001,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
5noFr0H7xkDdpVa3jCdiDk,Nu World,3TXQ1ddouwQAI78hV4hXDj,Maceo Plex,2bpSIid6m58K6LtEKOWDt7,351723,2020-08-28,51,0.698,0.774,0,-7.377000000000001,1,0.0433,0.0005139999999999999,0.626,0.0939,0.39399999999999996,125.99700000000001,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
1E36wOHUwFMzXGg1okS409,Chaka Raka,6yCdWsTDt4Dmb5GMZd5QLb,Kink,3FMJL80dL1oZcbcXKtem0w,408383,2020-08-28,32,0.8140000000000001,0.71,7,-8.615,1,0.0643,0.00725,0.716,0.0599,0.797,126.98,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
