playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
7pKDxGIoK9L2sWXS8usaYR,Wanderlust 🌲 - An Indie/Folk/Pop Playlist,24,alxrnbrdmusic,alexrainbirdMusic,30408
32gzGnTXOLzqZWLA0XtKjn,Stress-Free Studying 📚 - An Indie/Folk/Pop Playlist,23,alxrnbrdmusic,alexrainbirdMusic,7197
6qOpTN8BRGrM4sI4YK3u7K,Relaxing Sunday Mornings ☕ - An Indie/Folk/Pop Playlist,19,alxrnbrdmusic,alexrainbirdMusic,5861
5Ts24aXoCQL3Tts0kfN1NL,Relaxing Sunday Mornings ☕ - An Indie/Folk/Pop Playlist | Vol. 4,23,alxrnbrdmusic,alexrainbirdMusic,4352
1Bzyec2TKWMfzPlBQjClQO,Relaxing Sunday Mornings ☕ - An Indie/Folk/Pop Playlist | Vol. 2,22,alxrnbrdmusic,alexrainbirdMusic,2809
1Q9m98oZjlxL62FWI0ZGCb,The Mountains Are Calling ⛰️ - An Indie/Folk/Pop Playlist,31,alxrnbrdmusic,alexrainbirdMusic,2456
5e5hrMWduhOU9XHdDRVwH5,Relax Your Mind 😊☕ - A Chilled Indie/Folk/Pop Playlist,21,alxrnbrdmusic,alexrainbirdMusic,2437
0hR34qyfBk739QrTCKYSJz,Folk-Pop Favourites,53,adamwendler,adamwendler,2166
4zr0CYp8sqMRePxF15GzoF,Forests & Firewood 🔥 - An Indie/Folk/Pop Campfire Playlist 🏕️,21,alxrnbrdmusic,alexrainbirdMusic,2157
3jXWt1a82tPN13ANsXxDg2,Spanish indie/folk/pop ,217,1221024398,Grecia Martinez,1762
5lRL44HuYR1x4Nkb0jWuNA,Tender Love ❤️ - An Indie/Folk/Pop Playlist (alexrainbirdMusic),16,alxrnbrdmusic,alexrainbirdMusic,1612
7aM61ztASk7BXXi6gxfxOR,Beach Days 🏖️ - A Summer Indie/Folk/Pop Playlist,23,alxrnbrdmusic,alexrainbirdMusic,1608
1VYMVbNCAf18jN7Wv5KpSt,Folk-pop,75,kayminr,kayminr,1604
64LXGxj4WB4i7Wmz8o9W00,Wanderlust 🌲 - An Indie/Folk/Pop Playlist | Vol. II,27,alxrnbrdmusic,alexrainbirdMusic,1602
0S0lOyRml4znzJQw7Azzsg,Stress-Free Studying 📚 - An Indie/Folk/Pop Playlist | Vol. 2,22,alxrnbrdmusic,alexrainbirdMusic,1379
2d6PxXEIrV338dsf9ggcUr,HELLO SUNSHINE ☀️ - A Summer Indie/Folk/Pop Playlist,22,alxrnbrdmusic,alexrainbirdMusic,1232
1lprkhTIchExP30veCbPaF,Happy Folk-Pop & Indie Folk,193,euniejoycegaspar,UNI Music Playlists,1176
5xgEVLwuWTfOS4uRVvWN5X,Indie Christmas 2019 🎄 - A Festive Folk/Pop Playlist,19,alxrnbrdmusic,alexrainbirdMusic,956
4Bhi9jz2llYpThE3cRy50H,Sad Songs 😓 - An Indie/Folk/Pop Playlist,23,alxrnbrdmusic,alexrainbirdMusic,621
4H6VS6HIC2cn42UlXj9BLi,Soft Folk-Pop & Indie Folk,190,euniejoycegaspar,UNI Music Playlists,571
2hqTuF3txEXXKdRdry25Te,COVERS ACUSTICOS ROCK- FOLK-POP,59,12149778481,Gre Alvarado Calvo,475
0dKdrfemabKwJrgt9qQpib,Lagrimita Y Costel — Dime Tu ( Folk-Pop),10,kjph9iusvf84kd0biuny1n7so,Angelalde,147
5GkrKjdtIsNZdOW4vJK069,Happy Folk-Pop,49,anthonylandry1,Anthony Landry,133
