track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7yq4Qj7cqayVTp3FF9CWbm,Riptide,10exVja0key0uqUkk6LJRT,Vance Joy,6rIbiUMmZJfqJRnXhVxFvg,204280,09/08/2014,79,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,0hR34qyfBk739QrTCKYSJz,Folk-Pop Favourites
6FA01JjBOE2EaogxdNy9xp,Smoking Gun,3ea4XDPCrAm68rpImApb94,Adam Wendler,21IbdgCG9BIgBx2CDE0T11,199897,08/07/2020,38,0.668,0.471,4,-6.85,0,0.0406,0.64,3.05E-06,0.488,0.545,154.978,0hR34qyfBk739QrTCKYSJz,Folk-Pop Favourites
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,261153,03/03/2017,77,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14E-05,0.14,0.471,135.007,0hR34qyfBk739QrTCKYSJz,Folk-Pop Favourites
5NORWMFC27ywGSZxi8uquP,Ophelia,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,5y1YWb4OONEGbxZQLRNUwO,160097,04/08/2016,76,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,0hR34qyfBk739QrTCKYSJz,Folk-Pop Favourites
2F79HavLHwJlfvvJOkkIQD,The Cave,3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,0kjj3EUl6EOrKSC9iDurZq,215626,01/01/2009,63,0.592,0.499,4,-9.463,1,0.0375,0.0536,4.52E-05,0.113,0.346,141.937,0hR34qyfBk739QrTCKYSJz,Folk-Pop Favourites
42bbDWZ8WmXTH7PkYAlGLu,Hold My Girl,2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,2NaulYO6lGXTyIzWTJvRJj,211763,03/23/2018,73,0.614,0.527,10,-6.374,1,0.0302,0.597,0,0.11,0.354,121.941,0hR34qyfBk739QrTCKYSJz,Folk-Pop Favourites
1vJ4XkDfik8NKXMH1VEoVp,Deep Water,3ea4XDPCrAm68rpImApb94,Adam Wendler,5B4cpHxKFHD7l4WbDVnJfG,181560,07/12/2017,33,0.755,0.756,9,-6.756,0,0.0514,0.307,0,0.227,0.631,119.978,0hR34qyfBk739QrTCKYSJz,Folk-Pop Favourites
5aoSPVIVy7fEpPH9EWFmSv,My People,78rEst9B8h5utylmzIoUgb,Samuel Jack,7oiYt3RWlqUnKFmPpQt9u5,223004,05/08/2020,45,0.644,0.676,10,-7.105,1,0.054,0.0405,0.0208,0.0624,0.525,123.026,0hR34qyfBk739QrTCKYSJz,Folk-Pop Favourites
7GJClzimvMSghjcrKxuf1M,Budapest,2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,5tF2lAa2rh2kU2xIiBzWia,200720,06/27/2014,58,0.714,0.451,5,-8.268,1,0.0276,0.0883,0,0.108,0.406,127.787,0hR34qyfBk739QrTCKYSJz,Folk-Pop Favourites
6liNJDyWJjyHAgDnAX95bw,Fire and the Flood,10exVja0key0uqUkk6LJRT,Vance Joy,5S9b8euumqMhQbMk0zzQdH,249382,09/09/2014,67,0.596,0.827,5,-4.402,1,0.0372,0.0242,0,0.0958,0.329,115.034,0hR34qyfBk739QrTCKYSJz,Folk-Pop Favourites
