playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,50,spotify,Spotify,13406079
37i9dQZF1DX76t638V6CA8,Rap Workout,59,spotify,Spotify,1192720
37i9dQZF1DWSIvbYYt1Dvi,RAPública,60,spotify,Spotify,962179
37i9dQZF1DXdnOj1VEuhgb,Türkçe Rap,50,spotify,Spotify,797413
37i9dQZF1DX8Kgdykz6OKj,Jazz Rap,80,spotify,Spotify,692001
37i9dQZF1DX6PKX5dyBKeq,Rap UK,75,spotify,Spotify,678157
37i9dQZF1DWU4xkXueiKGW,Fresh Rap,51,spotify,Spotify,617955
5WNUX6jisX0NRlVDTm6RDd,HipHop 2020‏‏​​   ‍,166,sonymusicentertainment,Filtr Sweden,428269
37i9dQZF1DX0Na9FTYame5,Rap in deep,50,spotify,Spotify,427073
4Ao85ZB0F474SYUelDH1Xi,Sad Rap,112,promotingsounds,Promoting Sounds,409312
37i9dQZF1DXcd2Vmhfon1w,Rap Español,50,spotify,Spotify,349607
37i9dQZF1DWTgSTuHRv7LV,Mucho Rap,50,spotify,Spotify,343883
37i9dQZF1DWXfi2vTRVTna,This Is O Rappa,30,spotify,Spotify,324158
37i9dQZF1DX5jNEiuvPyWr,Cloud Rap,50,spotify,Spotify,305320
37i9dQZF1DWTf69iQOGkD2,Rap Acústico,80,spotify,Spotify,282978
37i9dQZF1DXcEJw9C2rUbi,Rap oder Liebe,50,spotify,Spotify,239358
37i9dQZF1DXaljDe6fISR1,Gigantes do Rap Nacional,65,spotify,Spotify,214519
43udSsOeQC1mlUYf18fb2J,Chill Lofi Study Beats - lofi hip hop music 2020 🌸 lo-fi hiphop to relax/study to,213,savz8vts72hqdy7von3mqc29g,Esydia,214276
0MF1XGKzqqeL0ZHeqMrq7R,Rap Fr | Rap Francais 2020 | Hits Rap,61,digster.fr,Digster France,203714
18PtAXbx353eX5M7ROSzwE,HipHops Finest,16,npz5x68u99c5yj2vxywzs0o1g,HipHops Finest,203407
37i9dQZF1DWUQru3jd69v5,Raptopia,40,spotify,Spotify,182647
37i9dQZF1DWXRPjCBAuFj3,Rap Internazionale,48,spotify,Spotify,170543
5772HGqmp2E99GQo5tfmcJ, 90's Rap / HipHop,212,19jconnell79,19jconnell79,166490
4l1CEhc7ZPbaEtiPdCSGbl,Rap Francais 2020,65,thomas.guenancia,Thomas Guenancia,145353
5QjgJ20xSbkyfDY2iPERtz,Japanese Lofi HipHop,108,thebootlegboy,thebootlegboy,138882
0mSf78pnq5xVU6kOtdv6dx,Chill Rap Playlist,162,promotingsounds,Promoting Sounds,136803
1Pcsy7nOw1nbEvWm1w3ZJ9,Rap 2020 | Lançamentos Rap Internacional,117,filtr.br,"Filtr Brasil	",134391
76ehO306yaGYjkMEIzth3i,French Rap,33,soonyjr,Matthewpins,133887
37i9dQZF1DXdpF2suW27SP,Rap Tuga,60,spotify,Spotify,122878
4QZ4F2Yxc6RLx7ybP0Ozn4,Hiphop NL,62,digsternl,Digster Nederland,122847
37i9dQZF1DX40O80BIPklU,Rap en Español,65,spotify,Spotify,120227
37i9dQZF1DX37pZLd58ED5,Mezzanotte Chill Rap,51,spotify,Spotify,116982
4fGyjVkLOHTbQjeqw3XAPL,Emo Rap,102,promotingsounds,Promoting Sounds,112125
1M25OrTF4Zr6T1LJ7XGzx4,Clean Rap 2020 - Best Clean Rap Hits 🔥,591,ikd5w5sgnw6dbvzb3vfaycex8,KULTPOP!,106792
4n1MmxkjlOGAVKkDIFxc7f,HipHop Weekly,17,seh44c9tfl325k9zfu6f7rme5,HipHop Weekly,101759
37i9dQZF1DWXo9v62EXLlM,Rap sztosy,70,spotify,Spotify,89156
37i9dQZF1DXdhDukKQ88Cc,DK rap,60,spotify,Spotify,89137
5eYb5BMPeWH4aiD2mv3bb2,Ala Türkçe Rap,72,alatokel,alatokel,85424
5ySBdOIQPpfpCO75lu20Uq,Chill Rap,178,irhvzi9jf9q9nolzou6g35wra,musiphy,80678
37i9dQZF1DX1ct2TQrAvRf,RAP 91,68,spotify,Spotify,78353
37i9dQZF1DWYBofUhpgE88,Rap Motivazionale,40,spotify,Spotify,77758
37i9dQZF1DX2y6end4Tb8T,Rap Skills,100,spotify,Spotify,76494
4nEoTzQTZCVf0e1NnPcyXg,HIPHOP NATION,13,kx3q4axl0jim5ehvyv40768ge,Top Gun Promotion,72889
1HDS5MxpQEMvZVBl2QAqzC,Rap Hits 🔥,198,fazeclan,FaZe Clan,72646
37i9dQZF1DX5cpU86I7OAy,Svensk Rap,70,spotify,Spotify,66163
37i9dQZF1DWSxF6XNtQ9Rg,Hit Rap Italiane,70,spotify,Spotify,64086
37i9dQZF1DX3HUaZJRcDLd,Rap klub,50,spotify,Spotify,60553
10j2Ju2XhtSBAYyjLxoAo1,Chill Rap Vibes ,601,graemecharterspotify,graemecharterspotify,59798
0vHJEpZtv6IaNi6ELq2Pg1,GENERATIONEN - Dansk Rap 2020,260,sonymusicdenmark,Filtr Danmark,58710
3oYfbpE01BNMgMvmWdKFxF,90s RNB/HIPHOP,331,1118860764,Clarisse Van den Steen,58501
3VwlaafldslRaaWq8vsU6S,2000s Rap,385,1228891937,Matt Hingle,53439
37i9dQZF1DXa3d3ljLBxSG,Rap motywacja,60,spotify,Spotify,52372
5Djnt1SjSdvkAWm41tVAZB,Rap US 2020,69,grefml3x5uyg5fh5hcw9dr8l0,edwardNicholas,46728
1tVCPJwL5aAIfebsbNVlIh,TIKTOK - BEST RAP & HIPHOP,26,rch34ii0a11wokwp0dquwmrb9,LIT CITY MUSIC,46552
5aITOGm7m82XkhYJI6bT8y,Emo Rap,15,sq7oqrq254sf6k4cqv6hsz3mq,Wave,45907
5zWx4nzIkTxHM5fPS6MHnJ,Svensk Hiphop & Rap,129,sonymusicentertainment,Filtr Sweden,44276
2EqLtiIvHBLqwXlhHiFV6F,Rap Deluxe,24,qavjvi1iyj2lm8mgybsra9umx,Deluxe Playlists,43819
3wVuygKfrB3ZrSganknUHo,Planet Hiphop,50,jq2sud1ucnbpfxy3ol1iipnsk,Callup,41521
5TZkls9cEOzWDR6qCxwDot,HipHop 2020,117,theswingingturtle,The Swinging Turtle,41305
2m1a06jWwGTKXkAC2mMtRV,HipHop 2020,133,thegoodfm,TheGoodVibe,40283
4plBI8FtZBDIFZkn88vin1,Amazingly Hiphop,50,xlxwpej99lso537dmdxhj9f32,Amazing Beats,39019
5KMe8U2oBsZiUmfTEvmG4t,Rap Mexicano 🇲🇽🔥 Rap Mexicano 2020 🇲🇽,71,divergemusic,Diverge,39001
2Bgoj0qw7DRoqFFZUN31Hk,Rap Cloud,14,u39kw2iv02rb6gk352rt0lqkp,Nick A,38822
33tfatDTlXxAOJs6uUUFm7,RAP MUSIC 🔥 | HipHop | Trap 2020,104,kor3wjfaaobanwyyg77wuqzag,TodaysGeneration,38287
1vIDwjZb8KYW470ihPo5Sd,Blissful Hiphop,51,2rnz5aun197wu6npsxj2as0k9,Blissful Hiphop,37225
6RU5ThcO3yRcLDcQEt87n3,HipHop Solitude,50,up4gdw49gkeaz4dr1j3fr6hyt,Funky Soul,36480
6o1BCSdwXiFX3f3lMfkbED,Ambition's Lofi Hiphop Playlist,83,ambition-music,ambition-music,36435
1MANhtJS3eXcQeJLjRw6FG,Hiphop Favors,50,2tlfrnd33n20c2vk2m5q8q1ue,Inspired With You,36377
5vwyfbggGoq2qj4AgW0ny0,Hiphop Rebels,52,9cca2gtjf8ravmcbuacz67nzw,Blues Rebel,35144
5zVTjqiHYpNyF8EzJ96Aqb,RapCloud,33,z9fgk0o70m9q15yydnwy1gziw,RapCloud,34528
4hBswgculKF2cbGVCeex0p,Hiphop Selects,50,68kijfy1sh3bit9jpeqalzx7h,Time for Selects,33485
4IBnRaZlAHrAf5l47F8mke,HipHop Connected,53,cipanwonrzhjuj2emcednb2al,Soundssavage,33051
58fFSQJ8WEdpCJzACUmhqg,Hiphop Filler,50,kjorvedy5150vd7wpkve1fh0m,Colorful Hits,32961
2o1qRzi61Qpzv8mB7aBPaP,American Rap 🇺🇸,296,sjoerdbosmuiderberg,Sjoerd Bos,32076
