playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton,50,spotify,Spotify,10124892
37i9dQZF1DWZjqjZMudx9T,Mansión Reggaetón,50,spotify,Spotify,2413886
37i9dQZF1DXbSbnqxMTGx9,Reggae Classics,60,spotify,Spotify,2249541
37i9dQZF1DX8SfyqmSFDwe,Reggaeton Classics,100,spotify,Spotify,2019005
7xWuNevFBmwnFEg6wzdCc7,Reggaeton 2020 ☀️,323,12127298960,Diego Fernando Bravo,1320797
37i9dQZF1DWVYs6zNzJ0ci,Reggae en Español,100,spotify,Spotify,1143099
37i9dQZF1DWTMlvEhEJDRB,Nação Reggae,70,spotify,Spotify,472084
37i9dQZF1DXbwoaqxaoAVr,Sunshine Reggae,60,spotify,Spotify,439125
4csIMGPI3aGo3Xy7WG8jBi,Todo Reggaeton,94,el_listón,Digster España,404343
37i9dQZF1DX3mvx0imueXo,Island Reggae,53,spotify,Spotify,345473
7Juq9sxsONkWeFk7FhdLxa,Reggaeton Actualizado🔥,17,jx8rg9yn5egw90pibx6qxi8nt,TRAPICHEO,267609
37i9dQZF1DWYtKpmml7moA,Chilled Reggae,49,spotify,Spotify,264036
37i9dQZF1DWSkkUxEhrBdF,Reggae Infusions,53,spotify,Spotify,263793
4B5rhAH80qM2Sj3wCyr0jC,REGAETON 2020 🍑 REGGAETON 2020 HITS,200,partyfiesta!,partyfiesta!,238237
37i9dQZF1DWWU6Rfto8Ppm,Reggaetón Viejito,144,spotify,Spotify,229660
08mTMG7Xc6kBj4r1qdInNO,Reggaeton Viejito🔥,246,12163988544,Adriana Murrieta,216488
37i9dQZF1DWZpPC3clG38j,Pinoy Reggae,31,spotify,Spotify,197313
03sDEv7FN58Mb9CJOs1Tgn,Reggaeton 2020 😍 🔥,107,12168854749,Alex Garcia,164759
37i9dQZF1DX8TCaiq7EoZA,Reggae Acústico,30,spotify,Spotify,154497
7Gojwu4vArFel89hm4uqY8,"Musical Grease ( Trap, Reggaeton Etc)",170,226d7x65lrch72pmmccves6oq,@Roapromo,142187
37i9dQZF1DXco4ODkIraMD,Reggaeton Rewind,75,spotify,Spotify,113527
0Jxu2XKOXZwLyelCoZ348B,Latin / Reggaeton Daily!🎤,31,yrkjs6dnap7oc1bjc33f95h1d,DjLinkYou,112510
2pMjG1bTHOHGwbk5p9WOMm,El Mejor Reggaeton 🌎,26,jx8rg9yn5egw90pibx6qxi8nt,TRAPICHEO,97985
37i9dQZF1DX2oc5aN4UDfD,Ultimate Reggae,50,spotify,Spotify,95127
6xVwcKe3bjKcIriAKxF07B,Reggaeton y Perreo,245,12150809594,Digster Music,84346
5iPuvj02slqof2cGoJZczO,Old School Reggaeton ,183,sayragrimaldo,sayragrimaldo,78811
0s8tfHVdQa8duFMev3ZlgD,Dub Reggae,133,constantinex,Constantinos Zervos,76350
