playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWXRqgorJj26U,Rock Classics,145,spotify,Spotify,8442915
37i9dQZF1DXcF6B6QPhFDv,Rock This,50,spotify,Spotify,4497159
37i9dQZF1DX1rVvRgjX59F,90s Rock Anthems,152,spotify,Spotify,3947353
37i9dQZF1DWYN0zdqzbEwl,Rock en Español,60,spotify,Spotify,3794503
37i9dQZF1DX6xOPeSOGone,Soft Rock,100,spotify,Spotify,2659070
37i9dQZF1DX8FwnYE6PRvL,Rock Party,50,spotify,Spotify,1765840
37i9dQZF1DX1spT6G94GFC,80s Rock Anthems,80,spotify,Spotify,1573530
37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock,104,spotify,Spotify,1474511
37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock,200,spotify,Spotify,1344026
37i9dQZF1DWWRktbhJiuqL,Pure Rock & Roll,100,spotify,Spotify,1303428
37i9dQZF1DX49jUV2NfGku,Rock Solid,80,spotify,Spotify,1145901
37i9dQZF1DXcmaoFmN75bi,Rock Forever,94,spotify,Spotify,880336
3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos",587,juan20150,Juan20150,771185
37i9dQZF1DXb3m918yXHxA,Yacht Rock,170,spotify,Spotify,736404
37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,100,spotify,Spotify,722539
37i9dQZF1DX1te6miphixI,Radio Rock,50,spotify,Spotify,714953
20LKsiDZd4ALrlihncFcFa,90s Alternative Rock,92,myplay.com,Filtr US,696791
37i9dQZF1DWTlgzqHpWg4m,California Rock State,73,spotify,Spotify,685085
37i9dQZF1DWSDoVybeQisg,Psychedelic Rock,50,spotify,Spotify,673591
37i9dQZF1DX0rCrO4CFRfM,Acoustic Rock,64,spotify,Spotify,635541
37i9dQZF1DWUoqEG4WY6ce,Indie Rock Road Trip,89,spotify,Spotify,581550
37i9dQZF1DX0wiundViT27,Rock Me UP!,96,spotify,Spotify,580473
37i9dQZF1DWWzBc3TOlaAV,60s Rock Anthems,101,spotify,Spotify,529423
37i9dQZF1DX4vth7idTQch,Rockhymnen,100,spotify,Spotify,529151
37i9dQZF1DWXs1L3AC0Xio,Rock Ballads,75,spotify,Spotify,506893
37i9dQZF1DX2S9rTKTX6JP,Rock Covers,70,spotify,Spotify,493736
37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,144,spotify,Spotify,472659
37i9dQZF1DXdOEFt9ZX0dh,Classic Rock Drive,150,spotify,Spotify,462226
37i9dQZF1DWYDQ8wBxd7xt,Pinoy Classic Rock,61,spotify,Spotify,451776
37i9dQZF1DXbFRZSqP41al,Rock Your Body,50,spotify,Spotify,444634
37i9dQZF1DX6hvx9KDaW4s,The Rock Workout,60,spotify,Spotify,437484
37i9dQZF1DWUNNEvaozpW5,Rock Español,70,spotify,Spotify,408572
37i9dQZF1DX23YPJntYMnh,Funk Rock,60,spotify,Spotify,380268
5BygwTQ3OrbiwVsQhXFHMz,Classic Rock,129,sonymusicfinland,Filtr Finland,366010
37i9dQZF1DX3RfxtU3KC3j,Türkçe Rock,50,spotify,Spotify,364591
37i9dQZF1DWZjmJmeiazwd,Ultimate Rock Gaming,150,spotify,Spotify,364012
37i9dQZF1DWYNSm3Z3MxiM,Classic Rock Workout,65,spotify,Spotify,353122
37i9dQZF1DXbDjX0hus3Iu,Southern Rock 101,106,spotify,Spotify,351631
