track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6IdEQ3HUseBeRUYFSzSMdL,Zebbiana,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,4AaygWd1ZnCzZ4ak9EM23s,304664,2019-07-26,64,0.677,0.433,8,-8.518,1,0.037,0.545,0.0,0.105,0.498,134.006
6v3KW9xbzN5yKLt9YKDYA2,Señorita,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,0xzScN8P3hQAz3BT3YYX5w,190799,2019-06-19,82,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967
1dGr1c8CrMLDpV6mPbImSI,Lover,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,221306,2019-08-23,79,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534
0gDRtumoR9ZrvAlnniToMz,Ikaw At Ako,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,397zfeJ75BlnjfUEkgtwlG,269876,2019-01-14,64,0.445,0.355,4,-7.351,1,0.0289,0.887,0.00179,0.322,0.366,135.525
5l9g7py8RCblcvbZgGQgSd,Pagtingin,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,7xCcuTA3abKwxj8HwgxP7R,227370,2019-05-12,68,0.669,0.42,2,-8.464,1,0.0253,0.506,0.0,0.404,0.523,95.049
34ob61cxp34Sf7KHK6RnSU,Sa Susunod Na Lang,0iqkVK6sTXi7DZWWOeKy8Q,PDL,79UXZq6nXVVBpZgWWxb9Gq,214606,2018-09-26,66,0.595,0.57,5,-6.232,0,0.12,0.104,0.0,0.0899,0.721,84.929
70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3oIFxDIo2fwuk4lwCmFZCx,197866,2019-07-12,78,0.64,0.647,5,-8.114,0,0.186,0.124,0.0,0.0801,0.546,92.979
2BgD4nRyx9EZ5o8YEnjRSV,Kung 'Di Rin Lang Ikaw,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,15ufxdU6r8niuSmA9nu3ly,267759,2018-07-22,68,0.502,0.482,4,-4.736,1,0.0288,0.161,0.0,0.187,0.132,133.894
1X4l4i472kW5ofFP8Xo0x0,Sana,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,4njOhY51h2CBqdAX4o41U1,277098,2018-04-25,68,0.66,0.373,7,-7.874,1,0.029,0.701,0.0,0.226,0.348,126.887
18uwL0vNUanqZH0ro2QcOP,comethru,3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,6Whp0T7d1SAt4gDUNkWWD1,181613,2018-09-28,80,0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982
0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3oIFxDIo2fwuk4lwCmFZCx,219946,2019-07-12,79,0.798,0.676,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956
6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,2wY79sveU1sp5g7SokKOiI,Sam Smith,7baaCf70tVcUBL2bbkuXjo,202204,2019-07-19,83,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,178426,2019-08-23,75,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994
1yDiru08Q6omDOGkZMPnei,Maybe The Night,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,6LhZ3QMHGJeTes9cCTxK8e,217197,2017-10-27,71,0.572,0.522,2,-9.095,1,0.0367,0.113,4.91e-05,0.114,0.498,74.05
6vBdBCoOhKHiYDDOcorfNo,Goodbyes (Feat. Young Thug),246dkjvS1zLTtiykXe5h60,Post Malone,4FFBjcmX06VmazABtpRMyv,174960,2019-07-05,9,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231
2RgD3eO4IIGF16rR8Ch8OV,Hindi Na Nga,5HIZU0JzM0AgfItVOm4E08,This Band,1NbGA8Cinz1V3OmYKzq7eR,282442,2018-09-14,63,0.396,0.413,7,-11.566,1,0.0334,0.0877,2.95e-05,0.124,0.108,136.818
6RRNNciQGZEXnqk8SQ9yv5,You Need To Calm Down,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,171360,2019-08-23,81,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026
24ngpWhBOxKJtIPnzSNX8c,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),4qFxP3qN9GsnZDOkAE6x2m,December Avenue,3CN06MwHmNd9UWGu424J42,343017,2019-04-07,65,0.465,0.592,4,-4.905,1,0.0293,0.0208,1.51e-06,0.0929,0.117,139.867
4a6q8CR2hzLk2plDkSxkfD,I.F.L.Y.,4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,4ZKdRW0AH9sxV09NmWsTkW,165714,2019-08-09,81,0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,0.554,104.954
1pNAf6W7POwjOD8x8mWf8G,Nobody Knows,1z7b1Pr1rSlvWRzsW3HOrS,Russ,7CC9iqq2JZ3j4jF9SNNLL7,215555,2018-12-23,67,0.715,0.71,4,-9.504,1,0.432,0.445,0.000284,0.103,0.526,162.043
322tcqPhma7F6hfCeLisx0,"fuck, i'm lonely",5JZ7CnR6gTvEMKX4g70Amv,Lauv,60sI3iRfHfu7YpcTpZ29W1,198973,2019-08-02,16,0.806,0.558,9,-6.46,1,0.0683,0.482,0.0,0.0618,0.678,95.016
3WUEs51GpcvlgU7lehLgLh,Kathang Isip,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,4nQxblVnnFPehg9ujzdJ8L,318814,2017-06-23,71,0.491,0.314,10,-8.58,1,0.0301,0.776,4.76e-06,0.152,0.295,126.921
7hoP5NDUXEbmOawvEAsi8h,'Di Na Babalik,5HIZU0JzM0AgfItVOm4E08,This Band,0pFRzLxgSt9QlXKuukR8A4,340262,2019-02-03,59,0.358,0.435,10,-7.265,1,0.0349,0.00819,0.000936,0.112,0.14,76.132
6BxJLJw228OY5BFerPGl7z,Dahan,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,5ZMRUtgLCoeyhrDdRhSXij,297500,2019-02-14,62,0.516,0.529,10,-6.596,1,0.0257,0.318,0.0,0.198,0.295,129.973
2mwd0LWLBgtQBEOLG96nbU,Bagay Tayo,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,6r5Q4HTHG4DGcZ7mrfgaRw,397033,2018-12-04,61,0.804,0.557,0,-8.658,1,0.163,0.322,0.0,0.106,0.645,100.053
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,246dkjvS1zLTtiykXe5h60,Post Malone,35s58BRTGAEWztPo9WqCIs,158040,2018-12-14,85,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911
3RauEVgRgj1IuWdJ9fDs70,The Man,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,190360,2019-08-23,79,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048
3xaugmCyXrVkrDTXbFkMW3,Sanctuary,3MZsBdqDrRTJihTHQrO6Dq,Joji,1cjgTku8zcYVHRi8QQH1XI,180018,2019-06-14,77,0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788
6TqXcAFInzjp0bODyvrWEq,Talk (feat. Disclosure),6LuN9FCkKOj5PcnpouEgny,Khalid,6KT8x5oqZJl9CcnM66hddo,197573,2019-04-05,76,0.901,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.346,135.984
14BG5B1EJSCyNpZt096xXc,"Patawad, Paalam",0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4Lavp71TTVIdkw8yNY8LhA,323140,2019-06-14,58,0.472,0.288,2,-8.213,1,0.0318,0.865,1.01e-05,0.131,0.193,77.987
0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,3zVB99XMdbP9HTVNg0GJwV,186106,2019-08-02,79,0.4,0.795,10,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097
5NXdUJ3Z2jhlp2u1cj6f7m,Balang Araw,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,6HPFW4F5tgbVGfFatG5CUw,288207,2018-10-23,62,0.523,0.391,7,-9.283,1,0.0298,0.395,0.0,0.142,0.354,139.905
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,4IRiXE5NROxknUSAUSjMoO,157066,2019-06-21,83,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041
3iZB3VUDerY5P96rhBKwKr,Dalaga,0YrWkiT8pKvEu71t5Yllj7,Arvey,0JImrioMnXvn5H3mZezAjD,192940,2019-06-21,58,0.889,0.566,0,-5.942,0,0.0618,0.179,0.000537,0.0325,0.937,95.953
07JZJ9YJRaiUAz9Bv8wgwH,Mabagal,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,662p02ErqQk9DvBL38lqH7,226727,2019-08-02,52,0.356,0.339,5,-10.893,0,0.0369,0.508,3.28e-06,0.355,0.287,74.975
